srcStateName,srcYear,Credit to agriculture by Scheduled Commercial Banks,Personal loans by Scheduled Commercial Banks,Credit to industry by Scheduled Commercial Banks,Credit by Scheduled Commercial Banks in India,Distribution of offices of Scheduled Commercial Banks,Deposits of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of utilisation,Credit-Deposit ratio of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of sanction,Deposits by Scheduled Commercial Banks in India,Credit of Regional Rural Banks,Number of Branches of Regional Rural Banks,YearCode,Year
Tamil Nadu,2011,56600,75800,165500,394100,6864,4800,119.4,120.9,115.1,342300,3400,298,2011,"Financial Year (Apr - Mar), 2011"
Andaman & Nicobar Islands,2011,0,400,100,700,42,,39.1,,38.1,1800,,,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2011,61200,70600,130900,321200,7571,13600,114.9,100.4,109.7,292700,13600,1341,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2011,100,700,400,1200,86,200,27.4,21.5,23.7,5200,,18,2011,"Financial Year (Apr - Mar), 2011"
Assam,2011,2900,9100,4100,21400,1546,4700,38.9,48.0,36.5,58500,2200,409,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2011,12200,11700,4600,35200,4323,13700,31.6,43.5,29.5,119200,6000,1521,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2011,7400,6600,12100,29700,1423,4400,56.1,32.5,52.3,56800,1400,456,2011,"Financial Year (Apr - Mar), 2011"
Dadra & Nagar Haveli,2011,0,100,500,400,34,,56.2,,34.8,1200,,,2011,"Financial Year (Apr - Mar), 2011"
Daman & Diu,2011,0,100,600,400,24,,43.8,,21.3,1700,,,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2011,20300,50100,225100,552000,2629,,80.8,,86.8,635900,,,2011,"Financial Year (Apr - Mar), 2011"
Goa,2011,500,3200,3600,9200,470,,31.1,,29.1,31600,,,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2011,20500,29500,105500,171700,5073,4600,74.4,44.3,66.2,259500,2000,447,2011,"Financial Year (Apr - Mar), 2011"
Haryana,2011,19400,20600,38700,92800,2690,7400,85.6,69.0,71.7,129400,5100,416,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2011,2400,3900,5800,13500,1077,1600,48.6,42.6,41.6,32400,700,156,2011,"Financial Year (Apr - Mar), 2011"
Jammu and Kashmir,2011,1400,4800,2900,15300,1041,2000,35.7,35.5,38.1,40200,700,260,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2011,2600,8200,8700,26000,1984,3500,35.6,31.7,34.4,75500,1100,413,2011,"Financial Year (Apr - Mar), 2011"
Karnataka,2011,37000,61300,90900,252600,6518,,76.3,81.3,72.7,347400,11300,1213,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2011,23200,44700,16500,125000,4690,13900,73.8,115.4,73.1,170900,5600,404,2011,"Financial Year (Apr - Mar), 2011"
Lakshadweep,2011,0,0,0,0,12,2800,8.8,,8.7,500,,,2011,"Financial Year (Apr - Mar), 2011"
