srcStateName,srcYear,Revenue Deficit,Pension expenditure,Primary Deficit,Gross Fiscal Deficit,Capital outlay,Social sector expenditure,Own tax revenue,Own non-tax revenue,Interest payments,Capital expenditure,YearCode,Year
Karnataka,2011-12,-4691,5436,6239,12300,15506,32373,46476,4087,6062,20641,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2011-12,8034,8700,6521,12815,3853,18740,25719,2592,6294,7745,2011,"Financial Year (Apr - Mar), 2011"
Madhya Pradesh,2011-12,-9910,4389,460,5760,9055,27131,26973,7483,5300,27965,2011,"Financial Year (Apr - Mar), 2011"
Maharashtra,2011-12,2268,10503,2465,19969,17880,61134,87608,8168,17505,25174,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2011-12,-648,628,650,1047,1697,2018,368,312,397,1857,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2011-12,180,376,780,1065,855,2342,698,368,286,1110,2011,"Financial Year (Apr - Mar), 2011"
Mizoram,2011-12,-288,298,-61,213,495,1641,179,168,274,762,2011,"Financial Year (Apr - Mar), 2011"
Nagaland,2011-12,-711,587,122,539,1249,1606,304,233,417,1573,2011,"Financial Year (Apr - Mar), 2011"
Odisha,2011-12,-5607,4741,-3198,-622,4496,18051,13443,6443,2576,7445,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2011-12,6810,5657,2210,8490,1598,9974,18841,1400,6280,3765,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2011-12,-3357,5920,-4266,3626,7119,27845,25377,9175,7892,11719,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2011-12,-442,174,-11,180,616,1450,294,1045,191,714,2011,"Financial Year (Apr - Mar), 2011"
Tamil Nadu,2011-12,-1364,12597,8403,17274,16336,41897,59517,5684,8871,25627,2011,"Financial Year (Apr - Mar), 2011"
Telangana,2011-12,,,,,,,,,,,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2011-12,-1668,730,-752,-259,1397,2687,858,214,493,1629,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2011-12,-6985,14127,-49,15432,21574,59716,52613,10145,15481,29827,2011,"Financial Year (Apr - Mar), 2011"
Uttarakhand,2011-12,-716,1135,-12,1757,2317,7385,5616,1136,1769,3257,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2011-12,14571,10066,1809,17705,2764,35609,24938,1340,15896,10505,2011,"Financial Year (Apr - Mar), 2011"
NCT Delhi,2011-12,-4428,0,-372,2545,4004,13214,19972,461,2917,8438,2011,"Financial Year (Apr - Mar), 2011"
Puducherry,2011-12,451,296,434,824,375,1723,1588,153,390,534,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2011-12,-1428,2297,-342,1925,3159,10721,6954,3038,2267,5015,2011,"Financial Year (Apr - Mar), 2011"
Jammu and Kashmir,2011-12,-2102,3296,1310,3693,5899,8738,4745,2002,2383,7176,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2011-12,-645,2217,-497,1633,1810,5998,4108,1915,2130,3431,2011,"Financial Year (Apr - Mar), 2011"
Haryana,2011-12,1457,3204,3153,7153,5372,16270,20399,4722,4001,7737,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2011-12,-3215,6145,93,11027,13812,30346,44252,5277,10934,19670,2011,"Financial Year (Apr - Mar), 2011"
Goa,2011-12,-297,410,175,880,1184,2303,2551,2312,705,1471,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2011-12,-3239,1878,-394,799,4056,14807,10712,4058,1193,6093,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2011-12,-4821,7808,1611,5915,8852,24046,12612,890,4304,13681,2011,"Financial Year (Apr - Mar), 2011"
Assam,2011-12,-927,3136,-428,1646,2506,11189,7638,2867,2074,3740,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2011-12,-1081,238,705,987,2066,2158,318,361,282,2247,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2011-12,-3138,11110,4841,15402,13722,45396,53283,11694,10561,25466,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2012-13,-5180,17921,2318,19238,23834,67436,58098,12970,16921,32997,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2012-13,-1128,12089,5846,17508,15149,49435,59875,15999,11662,26739,2012,"Financial Year (Apr - Mar), 2012"
Arunachal Pradesh,2012-13,-975,331,-40,232,1206,1938,316,284,272,1567,2012,"Financial Year (Apr - Mar), 2012"
Assam,2012-13,-1554,3779,-598,1516,2617,12303,8250,2474,2115,4611,2012,"Financial Year (Apr - Mar), 2012"
Bihar,2012-13,-5101,8364,2117,6545,9585,30744,16253,1135,4428,14740,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2012-13,-2606,2412,1504,2657,4919,16968,13034,4616,1153,7847,2012,"Financial Year (Apr - Mar), 2012"
Goa,2012-13,216,487,347,1147,942,2496,2940,1833,801,1285,2012,"Financial Year (Apr - Mar), 2012"
Gujarat,2012-13,-5570,7198,4331,16492,21227,38064,53897,6017,12161,28623,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2012-13,4438,3636,5617,10362,5762,18988,23559,4673,4744,8440,2012,"Financial Year (Apr - Mar), 2012"
Himachal Pradesh,2012-13,576,2747,609,2978,1955,7099,4626,1377,2370,4540,2012,"Financial Year (Apr - Mar), 2012"
Jammu and Kashmir,2012-13,-1100,3463,1509,4216,5224,9117,5832,2160,2707,6661,2012,"Financial Year (Apr - Mar), 2012"
Jharkhand,2012-13,-1372,2931,1013,3404,4218,12025,8224,3536,2391,7002,2012,"Financial Year (Apr - Mar), 2012"
Karnataka,2012-13,-1883,7227,7674,14507,15478,37829,53754,3966,6833,20308,2012,"Financial Year (Apr - Mar), 2012"
Kerala,2012-13,9351,8867,7798,15002,4603,21646,30077,4199,7205,8544,2012,"Financial Year (Apr - Mar), 2012"
Madhya Pradesh,2012-13,-7459,4947,3849,9422,11567,33368,30582,7000,5574,20529,2012,"Financial Year (Apr - Mar), 2012"
Maharashtra,2012-13,-4211,11472,-5336,13740,17398,70028,103449,9984,19076,25466,2012,"Financial Year (Apr - Mar), 2012"
Manipur,2012-13,-1503,760,-432,1,1502,2051,333,232,433,1677,2012,"Financial Year (Apr - Mar), 2012"
Meghalaya,2012-13,-537,388,81,395,928,2309,848,485,314,1124,2012,"Financial Year (Apr - Mar), 2012"
Mizoram,2012-13,-28,371,292,580,608,2118,223,213,288,827,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2012-13,-603,677,203,654,1255,1969,340,207,451,1593,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2012-13,-5699,5379,-2811,-4,5622,19659,15034,8078,2807,9018,2012,"Financial Year (Apr - Mar), 2012"
Punjab,2012-13,7407,5966,2515,9346,1916,12563,22588,2629,6831,5049,2012,"Financial Year (Apr - Mar), 2012"
Rajasthan,2012-13,-3451,6858,194,8535,10684,33698,30503,12134,8340,17802,2012,"Financial Year (Apr - Mar), 2012"
Sikkim,2012-13,-781,225,-133,66,842,1391,435,807,199,919,2012,"Financial Year (Apr - Mar), 2012"
Tamil Nadu,2012-13,-1760,13162,6314,16519,14568,46753,71254,6554,10205,24328,2012,"Financial Year (Apr - Mar), 2012"
Telangana,2012-13,,,,,,,,,,,2012,"Financial Year (Apr - Mar), 2012"
Tripura,2012-13,-1837,694,-869,-337,1483,2873,1005,179,533,1815,2012,"Financial Year (Apr - Mar), 2012"
Uttarakhand,2012-13,-1787,1366,-490,1599,3542,7968,6414,1603,2089,5256,2012,"Financial Year (Apr - Mar), 2012"
West Bengal,2012-13,13815,11036,1576,19147,4547,40104,32808,1918,17571,13247,2012,"Financial Year (Apr - Mar), 2012"
NCT Delhi,2012-13,-4902,0,-578,2285,4177,14566,23432,627,2863,9199,2012,"Financial Year (Apr - Mar), 2012"
Puducherry,2012-13,-95,372,-232,218,315,1409,1917,118,451,505,2012,"Financial Year (Apr - Mar), 2012"
Gujarat,2013-14,-4717,8270,5091,18423,22677,41878,56372,7018,13332,29462,2013,"Financial Year (Apr - Mar), 2013"
Goa,2013-14,354,565,464,1355,1010,2919,3582,1662,891,1346,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2013-14,809,2752,3707,5057,4574,21055,14343,5101,1351,6582,2013,"Financial Year (Apr - Mar), 2013"
Bihar,2013-14,-6441,9482,2893,8352,14001,34921,19961,1545,5459,17928,2013,"Financial Year (Apr - Mar), 2013"
Assam,2013-14,-241,4264,1584,3782,3207,14508,8995,2705,2198,5207,2013,"Financial Year (Apr - Mar), 2013"
Arunachal Pradesh,2013-14,-89,398,1293,1606,1680,2554,435,405,313,2050,2013,"Financial Year (Apr - Mar), 2013"
Andhra Pradesh,2013-14,-344,13682,5131,18041,15280,53736,64124,15473,12911,26255,2013,"Financial Year (Apr - Mar), 2013"
