srcStateName,srcYear,State Development Loans,Power bonds,Compensation and other bonds,Special securities issued to National Small Savings Fund (NSSF),Ways and Means Advances (WMA) ,Loans from Life Insurance Corporation of India,Loans from General Insurance Corporation of India,Loans from National Bank for Agriculture and Rural Development (NABARD),Loans from State Bank of India (SBI) and other banks as on end-March,Loans from National Co-operative Development Corporation (NCDC ) as on end-March,Loans from other institutions,Loans from banks and Financial Institutions,Total internal debt,Loans and Advances from Centre,Provident Funds,Reserve Funds,Deposits and Advances,Contingency funds,Total outstanding liabilities,YearCode,Year
Rajasthan,2011,35448,74,,22656,,58,61,3323,0,155,122,3719,61897,7378,21813,131,8060,200,99479,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2011,61984,1218,,27471,,703,102,4621,0,124,-1277,4273,94946,15496,10035,6401,12579,48,139506,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2011,663,12,,650,56,1,0,306,0,-4,92,395,1777,384,871,93,381,0,3506,2011,"Financial Year (Apr - Mar), 2011"
Assam,2011,11133,429,,5582,,1,12,745,0,0,3,760,17904,2245,5353,1979,-1066,50,26464,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2011,17580,1038,20,18844,,22,1,2009,0,25,8,2065,39547,8295,9563,1207,4617,350,63580,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2011,2511,242,,4894,,20,8,549,0,12,0,590,8236,2391,2331,1804,2242,40,17044,2011,"Financial Year (Apr - Mar), 2011"
Goa,2011,2610,,,3060,,19,0,253,137,1,115,524,6195,581,1295,605,854,30,9560,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2011,45557,814,,50619,,0,0,0,1695,0,4362,6057,103050,9397,6895,7738,15736,199,143015,2011,"Financial Year (Apr - Mar), 2011"
Haryana,2011,15087,1011,,11925,,10,8,1156,0,99,1494,2766,30789,2237,8219,1786,3064,200,46296,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2011,9224,35,,4936,,330,1,1132,0,31,2010,3504,17699,961,6102,77,1580,5,26424,2011,"Financial Year (Apr - Mar), 2011"
Jammu and Kashmir,2011,11298,795,,3501,,1297,11,1690,0,0,117,3115,18708,1755,6649,1592,3442,0,32147,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2011,7845,1058,7,9575,,5,2,1581,0,77,503,2167,20651,2149,1458,548,3341,150,28297,2011,"Financial Year (Apr - Mar), 2011"
Karnataka,2011,24563,,,21436,,406,43,2398,0,-85,0,2762,48761,10518,12784,11628,9688,67,93447,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2011,30744,579,,11777,,3330,341,1334,0,225,193,5423,48523,6360,23786,1802,3425,66,83963,2011,"Financial Year (Apr - Mar), 2011"
Madhya Pradesh,2011,24878,1332,,16612,,117,12,2788,121,61,454,3554,46375,10960,9220,2376,6506,100,75536,2011,"Financial Year (Apr - Mar), 2011"
Maharashtra,2011,69877,509,,81185,,1638,-1,2944,2,596,1542,6721,158294,9188,14711,19493,27954,989,230629,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2011,2025,79,,872,,6,0,48,0,6,87,147,3123,642,842,75,1534,0,6215,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2011,1766,7,,445,,0,1,200,0,4,71,276,2493,294,626,114,711,105,4345,2011,"Financial Year (Apr - Mar), 2011"
Mizoram,2011,1312,23,,167,27,211,0,94,0,3,33,341,1870,364,1542,97,790,0,4664,2011,"Financial Year (Apr - Mar), 2011"
Nagaland,2011,3056,39,,133,,66,26,197,0,9,507,804,4033,343,574,92,858,0,5899,2011,"Financial Year (Apr - Mar), 2011"
Odisha,2011,6160,551,,8446,,10,26,2126,0,19,650,2831,17988,7629,13546,4853,3004,12,47032,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2011,26764,319,,23126,368,2,0,1888,2028,0,425,4343,54920,3297,11357,2301,2882,25,74782,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2011,1235,24,,142,,96,1,139,0,3,19,258,1659,175,510,21,84,1,2450,2011,"Financial Year (Apr - Mar), 2011"
Tamil Nadu,2011,49723,,,26422,,978,88,3851,241,80,207,5446,81591,9394,10300,3605,9457,120,114468,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2011,1638,32,,1266,,144,3,230,0,0,4,382,3318,441,2003,67,250,10,6090,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2011,65006,2936,40,55071,,25,20,4129,1681,35,3607,9497,132551,18514,34100,26157,18045,560,229927,2011,"Financial Year (Apr - Mar), 2011"
Uttarakhand,2011,7235,286,,5023,354,2,5,1044,36,19,287,1393,14292,436,3823,1075,1620,46,21292,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2011,67174,982,,78811,606,13,6,36,0,71,7480,7605,155180,12344,7924,5454,12018,0,192920,2011,"Financial Year (Apr - Mar), 2011"
NCT Delhi,2011,,,,30140,,0,0,0,0,0,0,0,30140,0,0,0,0,0,30140,2011,"Financial Year (Apr - Mar), 2011"
