ROWID,Country,State lgd code,State,YearCode,Year,State Development Loans,Power bonds,Compensation and other bonds,Special securities issued to National Small Savings Fund (NSSF),Ways and Means Advances (WMA) ,Loans from Life Insurance Corporation of India,Loans from General Insurance Corporation of India,Loans from National Bank for Agriculture and Rural Development (NABARD),Loans from State Bank of India (SBI) and other banks as on end-March,Loans from National Co-operative Development Corporation (NCDC ) as on end-March,Loans from other institutions,Loans from banks and Financial Institutions,Total internal debt,Loans and Advances from Centre,Provident Funds,Reserve Funds,Deposits and Advances,Contingency funds,Total outstanding liabilities
1,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",11050.90307800577643375726,777.61267011989664231165,,3424.43013596195993048187,,1268.63350081195716362039,10.75942059285391580557,1648.863535536726860,0.00000000000000000000,0.00000000000000000000,114.44110994217346811379,3046.87228606726797585005,18298.84004101009608096396,1716.61664913260202170685,6503.58068380778965374863,1557.18159852940308749704,3366.72051641847074570654,0.00000000000000000000,31443.91761804316649105989
2,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",13650.77034489720445295772,622.09013609591731384932,0.00000000000000000000,3355.96109582561682990097,0.00000000000000000000,1387.96525647815513891853,8.80316230324411293183,1863.508492825531540,0.00000000000000000000,0.00000000000000000000,137.91620941749110259867,3402.91129477625209887073,21032.71100073979559701561,1588.48173116315993347688,8528.30801355393562806953,1402.63719365022866047158,3340.31102950873840691105,0.97812914480490143687,35893.42709776066312738152
3,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",15170.78303592402128585370,466.56760207193798538699,0.00000000000000000000,3441.05833142364325490866,0.00000000000000000000,1518.05643273720703002224,6.84690401363431005809,2087.910039082009160,0.00000000000000000000,0.00000000000000000000,142.80685514151560978302,3761.88469091965092620202,22840.29366033925345235137,1520.01269102681683289598,10180.36813912941415494296,1569.89727741186680617635,3525.17743787686477847948,0.97812914480490143687,39637.70546407382582771988
4,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",16828.71193636832922134835,389.29539963235077187426,0.00000000000000000000,3591.69021972359807618664,0.00000000000000000000,1647.16947985145401968908,5.86877486882940862122,2039.127094243644460,0.00000000000000000000,0.00000000000000000000,133.02556369346659541432,3830.35373105599402678292,24640.05128678027209619217,1427.09042227035119639333,12126.84513729116801431426,1963.10519362343718379809,3681.67810104564900837868,0.00000000000000000000,43838.77014101087749907653
5,India,1,Jammu And Kashmir,2015,"Financial Year (Apr - Mar), 2015",17920.30406197059922489527,155.52253402397932846233,0.00000000000000000000,3993.70129823841256674021,221.05718672590772473262,1749.87304005596867056043,3.91251657921960574748,2015.711280721229404,0.00000000000000000000,0.00000000000000000000,112.48485165256366524005,3887.08522145467831012138,26177.67030241357715495181,1328.29937864505615126946,14310.02938849570802140810,1291.13047114246989666840,4062.17033837475566732111,0.97812914480490143687,47170.27800821637179305575
6,India,1,Jammu And Kashmir,2016,"Financial Year (Apr - Mar), 2016",19705.38975123954434718302,2093.19636988248907490180,,4449.50947971749663632163,0.00000000000000000000,1637.38818840340500532038,2.93438743441470431061,1872.289422896437186,0.00000000000000000000,0.00000000000000000000,96.83478533568524225013,3614.18719005411080923465,29862.28279089364086764110,1234.39898074378561332994,17133.88822954745846965179,1510.23139957876781852728,4159.00512371044090957124,0.97812914480490143687,53900.78465361889858015822
7,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",21563.83512636885707723602,3460.62091431974128364606,,4141.39879910395268370758,870.53493887636227881430,1514.14391615798742427476,1.95625828960980287374,1768.869579839104022,0.00000000000000000000,0.00000000000000000000,269.96364396615279657612,3558.43382880023142733306,33593.84547832433984930015,1146.36735771134448401164,18939.51463085730652211381,1833.99214650919019413125,5099.96536101275609184018,0.97812914480490143687,60613.68497441493714139703
8,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",25450.92034782353538735740,3460.62091431974128364606,,3751.12527032679701039645,294.41687258627533249787,1385.03086904374043460792,0.97812914480490143687,1799.115005638890136,,,454.83005233427916814455,3644.50919354306275377762,36600.61446945460686623853,1064.20450954773276331456,20461.48358017373315788353,2127.43088995066062519225,6148.51980424361043216482,0.97812914480490143687,66402.25325337034384479369
9,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",30270.16264427728476681589,3460.62091431974128364606,0.00000000000000000000,3425.40826510676483191874,520.36470503620756441484,1242.22401390222482482490,0.97812914480490143687,1939.609886773380472,0.00000000000000000000,0.00000000000000000000,434.28934029337623797028,3622.01222321255002072961,41297.59062280774356608827,953.67591618477890094825,25668.06501797022350634254,2442.38847457783888786439,6690.40335046552582819080,0.97812914480490143687,77054.07964029572049230799
10,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",36882.31566315841848005709,3460.62091431974128364606,0.00000000000000000000,3425.40826510676483191874,223.99157416032242904323,1111.15470849836803228432,0.97812914480490143687,2010.832986237392934,0.00000000000000000000,0.00000000000000000000,70.42529842595290345464,3197.50417436722279712803,47189.84059111246982179315,843.14732282182503858194,28870.45983806147081065492,2482.49176951483984677606,6690.40335046552582819080,0.97812914480490143687,86077.32100112093624743374
