ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State value added by Banking and Insurance sector at current prices,Gross State Value Added by Construction sector at constant prices,Gross State value added by Manufacturing sector at constant prices,Net State value added by Banking and Insurance sector at constant prices,Net State value added by Construction sector at constant prices,Gross State value added by Industry sector at constant prices,Net State Domestic Product at current prices,Gross State value added by Agriculture sector at current prices,Net State value added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Net State value added by Manufacturing sector at current prices,Net State value added by Agriculture sector at current prices,Gross State value added by Agriculture sector at constant prices,Net State value added by Banking and Insurance sector at current prices,Net State value added by Industry sector at current prices,Per capita Net State Domestic Product at current prices,Gross State value added by Services sector at constant prices,Net State value added by Construction sector at current prices,Net State Domestic Product at constant prices,Net State value added by Services sector at current prices,Gross State value added by Industry sector at current prices,Net State value added by Agriculture sector at constant prices,Net State value added by Manufacturing sector at constant prices,Gross State Domestic Product at current prices,Gross State value added by Banking and Insurance sector at constant prices,Gross State value added by Services sector at current prices,Gross State value added by Manufacturing sector at current prices,Gross State value added by Construction sector at current prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Services sector at constant prices
1,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",2004-2005,240162.00518223705959756484,492920.35749127163989914154,300134.03743765998139637515,226519.05987049829435610208,457932.67798160031550230164,973426.29987667947076152904,5396760.06555005213973108097,1191756.46254687113028815548,782128.69238146087224567879,4030190.40598535941484264535,339247.46568011838005393271,1019395.43529507542359010843,730238.94124956085101972529,236896.03196773349369985591,1361200.70868885862090145619,46734,2181542.95049955738248277214,811079.35880939634497415705,3324636.50996323986138520825,2806387.49826724529877831806,1826048.75972422958956242873,623974.01282881155401673162,237917.19879490981079994819,6669386.28953110291101677431,229011.33293146118321724684,3434568.44454786273387502755,454122.86496258522440569299,856712.01780197941170845316,28790,1777645.06086441423705747991
2,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",2004-2005,280165.53094646791856267410,502013.04602137800365628506,318382.01476314022260262187,247959.65072462173385229248,463329.01647348895672951343,1051116.16346109837718780253,6124203.51370376058244423180,1452720.34025167402874363461,820216.06315101892929595972,4245272.20176565399669742652,354180.56333385481029062700,1244042.35598241713659604133,711799.25061169884913185205,276114.12002868601681115856,1466774.09980423085258858277,52250,2331533.18608052018841816542,866673.28501267252794153724,3511275.28834175271435724669,3191866.23797656734524591132,1974786.01187069731675719154,611134.11154495761285493913,246118.81167409890934810314,7523424.10225118572219682489,250472.46449762552564361151,3866915.22035965643759168373,488710.48965203134411485306,919199.79821784054000289311,30035,1924378.12639317672120809609
3,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",2004-2005,318263.66113661882952876060,526169.90151062465444266345,340034.85964168632571061306,268716.52930652654724411075,492565.29661170746067755773,1125538.09757272410791349335,7013555.70106787955510103686,1837439.07361548266679477988,871298.85773845490683649547,4484444.34025334849604087892,401593.41736998279764002651,1573497.77079389364836546847,756292.38915058420569219461,313661.56351031176826828725,1611820.87068734968666203507,59279,2451959.46825975484842416295,947956.79507510464224687111,3720720.12586053664923134605,3602658.95995344024089970018,2135596.31205149194238724076,649334.94529531303847189698,258445.19515693027725553888,8565468.11789421863855765817,271439.64084566339284435683,4359324.01630819511403934226,527718.27994685081341722866,1000262.25109354674658349436,31448,2053519.53925262305301660532
4,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",2004-2005,335768.26031204734564298612,541913.86822540434797052297,340820.29734496466156441967,272747.39951226754606545202,507302.76843648291062687802,1142068.48011992694219659635,7047365.71308720577816788528,1667594.77265326997149379934,882458.33315153402732974530,4413935.90085008717596410497,403823.55182013797291609011,1428049.96696140480470289947,633561.63470618919790093136,330912.82723723581491036344,1647965.67697532520945869218,58888,2500052.12205152224227218711,996260.72476214989480525919,3663435.01436589279167961763,3760069.28322689302913518928,2186537.27791293120921943036,543961.09252548100667789188,259152.38252862422099439589,8599846.42294667650935932806,275511.59247548619752604664,4525200.04732993432421094121,530575.39517882593051432593,1051231.58270018535555735319,30612,2103927.42473014364856570077
5,India,2,Himachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",2004-2005,247196,616896,738853,234776,605641,1695823,5188493,881551,1240465,4190822,834663,681771,506400,243622,1932394,75185,1785828,763447,3395474,2245284,2642446,404887,482623,6495745,237116,2638116,1272103,775873,49203,1552642
6,India,2,Himachal Pradesh,2012,"Financial Year (Apr - Mar), 2012",2004-2005,281762,637493,762293,243760,625863,1754319,5848899,1062492,1282827,4447976,854856,821706,560233,277688,2051558,83899,1917169,819370,3606325,2610418,2847351,447929,497930,7371003,246190,3090821,1344011,832706,51730,1664975
7,India,2,Himachal Pradesh,2013,"Financial Year (Apr - Mar), 2013",2004-2005,349057,658182,781973,257853,646175,1796963,6499521,1198210,1317025,4725476,887957,926667,659451,319865,2163969,92300,2048355,882299,3837391,3002434,3035201,527258,510781,8258534,260423,3613013,1438563,896659,54494,1778181
8,India,2,Himachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",2004-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,India,3,Punjab,2011,"Financial Year (Apr - Mar), 2011",2004-2005,1530606,1083853,3134808,1443655,1012677,4653882,22738713,7019317,3886952,15730291,3518804,6562806,3402467,1509794,5425142,76895,7487804,1651909,13698738,10256194,6438853,3120192,2603724,25637378,1459541,11669519,4207755,1744742,46325,6515390
10,India,3,Punjab,2012,"Financial Year (Apr - Mar), 2012",2004-2005,1770103,1107135,3197216,1636423,1025692,4750766,25181198,7642451,3945778,16460224,3834074,7094954,3413534,1745923,5921717,84512,8101238,1821556,14258538,11636439,7034537,3100311,2649728,28511933,1654196,13289631,4573776,1932141,47854,7028338
11,India,3,Punjab,2013,"Financial Year (Apr - Mar), 2013",2004-2005,2133768,1119123,3272740,1904546,1030755,4849779,28025474,8341539,4011221,17403765,4150978,7762646,3520186,2108705,6393064,92350,8830997,1965401,15030456,13302588,7626160,3177415,2703275,31755647,1926789,15197911,4969995,2091999,49529,7650406
