ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State Value Added by Agriculture sector at current prices,Gross State Domestic Product at current prices,Net State Value Added by Industry sector at current prices,Gross State Value Added by Services sector at constant prices,Net State Value Added by Construction sector at current prices,Net State Domestic Product at current prices,Net State Value Added by Services sector at current prices,Gross State Value Added by Manufacturing sector at current prices,Gross State Value Added by Industry sector at current prices,Net State Value Added by Agriculture sector at current prices,Gross State Value Added by Banking and Insurance sector at current prices,Net State Value Added by Manufacturing sector at current prices,Net State Value Added by Construction sector at constant prices,Gross State Value Added by Services sector at current prices,Gross State Value Added by Construction sector at constant prices,Per capita Net State Domestic Product at current prices,Net State Domestic Product at constant prices,Gross State Value Added by Agriculture sector at constant prices,Gross State Value Added by Manufacturing sector at constant prices,Gross State Value Added by Industry sector at constant prices,Net State Value Added by Services sector at constant prices,Net State Value Added by Banking and Insurance sector at constant prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Manufacturing sector at constant prices,Net State Value Added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Gross State Value Added by Banking and Insurance sector at constant prices,Gross State Value Added by Construction sector at current prices,Net State Value Added by Agriculture sector at constant prices,Net State Value Added by Banking and Insurance sector at current prices
1,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",2011-12,775979.571296002842666,7654403.41977372046380521285,1669358.33950135320878447595,3981037.46020062350783705411,609779.40267940282436487418,6580274.81192279717051216983,3470935.28615170896929785415,780116.68073059718999003720,2053751.35585994181465714351,607974.036249365117748,221108.04944143757960733724,610618.63748564542979770864,609779.40267940282436487418,3981037.46020062350783705411,638668.44697121558830282963,53173,6580274.81192279717051216983,775979.571296002842666,780116.68073059718999003720,2053751.35585994181465714351,3470935.28615170896929785415,217617.10652362888637914821,53173,610618.63748564542979770864,1669358.33950135320878447595,7654403.41977372046380521285,221108.04944143757960733724,638668.44697121558830282963,607974.036249365117748,217617.10652362888637914821
2,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",2011-12,1008339.567173411279824,8523195.33251404040825901051,1719387.68899983430747750271,4200787.86638907188425001579,645615.12015761999830748037,7139959.33045101696778774696,3697192.20741139955006887507,767946.79791093460631250066,2102162.87975291560637358729,814599.077406742641068,260823.02710795099264856985,600415.77237618550290971767,593166.85728403637836107410,4491459.48247988924914611056,625995.80577112328528674191,56828,6584331.11348630309677086972,715354.078768676728094,727582.34249227073871718637,2108785.79219238959400263406,3444869.12257180315090670552,248438.93400557613555635878,52406,567666.05234982779300043633,1740347.04031471373546675307,7900013.60429252082440614359,252839.53702805338712083691,678444.06864470690523314818,535633.807348554104118,256284.50787605624998149305
3,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",2011-12,1152496.096147469270206,9352747.63835222212176989438,1771936.69917533283227190659,4414247.92404727993952246650,726142.53639111792380211373,7794860.80870941470033687111,4109359.20083672333224146628,817503.71103247493761151921,2177780.08767949292665513325,921487.387842083535238,317121.20629548670465049644,642028.32058362042473847808,647613.43800045641194300578,5017724.26251755997902815040,691693.80604023410009698920,61108,6899315.10760039109178180521,771084.690610921328668,744067.73109881254753419335,2210303.85987340070433249762,3574985.73018861996944777414,301186.50439747005534244727,54088,582561.98109606163698252956,1832695.14726317889482596038,8325395.12246415882499084850,306194.52561887115069922167,772988.07552325906831812864,573055.204334063665488,311857.89336729153001869897
4,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",2011-12,864257.188275507603786,9621538.50547375384152320725,1854032.05642795301476984256,4516721.62390276543855615205,781860.68499578432925197641,7926459.28198061094455479778,4356995.09081441464371815479,856860.69343198975672685740,2300518.66715704637365789146,603482.102688648496172,367199.46225120804841536670,665180.63744115244174919098,613299.68947155566463616931,5331686.11167532685203755674,658619.34713780116291066702,61211,6568504.98392335979152231312,565873.379194959614354,767150.60078706341654288848,1959400.04042291621715522644,3653069.77981839525115310624,342254.23467124864707087109,50724,595820.52165389207595930241,1558857.13375445388365839831,8057056.15100752696970136957,348236.47252087542425876801,830725.08268280279033369100,352860.699240446617216,360451.34928119903340240057
5,India,1,Jammu And Kashmir,2015,"Financial Year (Apr - Mar), 2015",2011-12,1307377.067714793356236,11460538.67320434513101123165,2142879.46166370923848617478,4997807.59687104257597060346,786608.52386466732082654339,9625656.42917338247657242995,5062666.36233391078534801629,1009888.02000757178162373203,2588617.80359702684777501813,1025290.664845846245780,444349.39854769464924848795,836029.47703507977082583701,627905.11386178245289151215,6155846.96966734394882841317,674251.80713007309767472336,73215,7883946.85495995551340411697,786325.458237323228242,887623.83316524871181785577,2518498.65959339787847011844,4028100.14400291134047205416,403690.52625644450632067579,59967,730805.27802440288895167302,2117259.32497383445515023887,9487983.77391294779443154058,411618.26297508823246650714,836311.17822878358243965557,565491.896566323602400,435219.54111008569923674337
6,India,1,Jammu And Kashmir,2016,"Financial Year (Apr - Mar), 2016",2011-12,1415870.337035316449036,12211746.74706023345903457600,2166538.44941825019444118634,5155520.16205024007875008539,899812.30043866258862269284,10228756.18792291262902491890,5421718.00880889400479425589,1018369.37782217508198283180,2622763.31391302115203471296,1108527.052305754398802,461464.70232349081459083921,831532.03922726683401910875,710434.76045469601162741840,6626495.32653140798301002481,766525.57626353308452472855,76634,8082841.59152287378138013651,780542.727956183476704,894083.39803754028090694525,2601132.96600480556165976978,4094813.44232432964297377251,419882.47611954484470662177,60557,726343.05286580292859667208,2188945.43186744087655700430,9800724.91789799815044773316,428790.29824128308209219686,958601.77455801638458432732,548313.470370941856942,451283.35605521659553445938
24,India,3,Punjab,2014,"Financial Year (Apr - Mar), 2014",2011-12,5715593,35510182,6543346,13889371,2173172,31674541,13470782,4458534,8014021,5312173,1696078,3561722,1899471,15375744,2025364,108970,27848460,4824441,4298654,7253879,12225937,1623882,95807,3493724,5931485,31212533,1651615,2308915,4495122,1664792
25,India,3,Punjab,2015,"Financial Year (Apr - Mar), 2015",2011-12,5936438,39008744,7275932,14847996,2158925,35001082,14384447,5112610,8759041,5500564,1892770,4212168,1944607,16416663,2071872,118858,29489486,4794550,4559941,7696616,13059152,1697781,100141,3751196,6360946,33005193,1731383,2295407,4453609,1854072
7,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",2011-12,1458382.722144157750498,13660477.29853024829481721788,2419913.02308851186264799114,5380889.92017559261391786522,1004492.65964482794529795711,11446614.02669890255415595033,5951664.46694761038368467441,1066821.00501008587465818725,2887192.70317786781628102250,1127728.019394134744722,398414.49764936686797019901,875517.52873999844673371578,736481.36145170573198982963,7352724.91641641354304001997,801473.15247826740796265678,84471,8563592.06619448283760174151,773316.022507828130046,922243.73611647339327443255,2731132.19812424579202841400,4188152.39409648216748852913,335424.93698222082523864475,63195,756165.23236175956850540151,2318725.56305844480900378964,10425310.26144231276786250853,343079.77566946398388358937,1072946.04971485416745586719,529107.624988077674552,389433.31584176826297685867
8,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",2011-12,1474590.367737256038426,15695459.33423052885580226296,2743835.16132782704698904469,5950060.33515013034532820761,1145887.09630124527740613683,13130203.16712802227394544791,7041486.17879778351563085971,1162777.43037373631541800799,3275361.29803540334170000826,1117772.396011521276746,460706.65223626701597726496,953100.77624763361890337044,798184.68229343332933189984,8702635.08038678918665568575,866344.63362001808105874892,95448,9312608.15263686338150506019,784419.996411936703060,970715.90401642508887996227,2928782.75441497222537673490,4588707.03831468215980259970,359469.30761981491235978309,67697,796038.66694973137557940706,2490508.51598566081895264652,11380717.46621339634435401843,368024.02512027858032664811,1219861.04726455036327374119,528347.586707495952526,450265.12361547469313867771
