srcStateName,srcYear,Average daily wage rates for male construction workers in rural areas,Average daily wage rates for male general agricultural labourers in rural areas,Average daily wage rates for Horticulture workers in rural areas,Average daily wage rates for male non-agricultural labourers in rural areas,Consumer Price Index (CPI) for Food and Beverages (%),Consumer Price Index (CPI)  for Fuel and Light (%),Consumer Price Index (CPI) or General Inflation (%),Consumer Price Index (CPI) or Inflation for Urban Housing (%),YearCode,Year
Andhra Pradesh,2014-15,237.5,216.9,,221.2,5.3,2.9,5.5,7.7,2014,"Financial Year (Apr - Mar), 2014"
Assam,2014-15,248.8,200.6,,204.9,7.1,3.3,6.0,5.1,2014,"Financial Year (Apr - Mar), 2014"
Bihar,2014-15,226.7,198.9,165.2,209.8,6.9,6.5,6.7,6.1,2014,"Financial Year (Apr - Mar), 2014"
Chandigarh,2014-15,,,,,7.3,13.7,6.4,6.4,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2014-15,,,,,6.3,6.4,6.4,6.5,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2014-15,317.3,308.9,,256.0,6.8,7.2,6.2,4.0,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2014-15,173.4,150.5,142.6,150.6,5.4,2.5,5.5,8.2,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2014-15,267.7,196.7,231.0,205.4,6.8,2.9,5.5,4.0,2014,"Financial Year (Apr - Mar), 2014"
Manipur,2014-15,310.5,,,,7.4,0.2,4.7,5.0,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2014-15,231.0,174.7,157.6,192.0,12.0,17.5,12.3,8.8,2014,"Financial Year (Apr - Mar), 2014"
Mizoram,2014-15,,,,,9.9,3.8,6.5,3.2,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2014-15,,,,,12.3,8.3,10.5,8.0,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2014-15,198.8,180.0,142.0,170.9,7.5,6.6,6.8,4.7,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2014-15,,,,,9.1,4.0,6.9,6.4,2014,"Financial Year (Apr - Mar), 2014"
Punjab,2014-15,296.2,284.1,279.2,268.9,6.5,4.2,5.7,3.1,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014-15,303.3,269.9,,273.1,7.2,6.1,6.6,6.4,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2014-15,,,,,7.2,3.1,6.2,7.4,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014-15,363.8,334.3,315.8,372.8,6.5,3.0,6.2,7.0,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2014-15,,,,,4.0,2.0,4.7,6.2,2014,"Financial Year (Apr - Mar), 2014"
Tripura,2014-15,200.0,209.4,,200.0,11.8,17.5,13.0,10.5,2014,"Financial Year (Apr - Mar), 2014"
Dadra & Nagar Haveli,2014-15,,,,,5.2,2.0,4.3,4.8,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2014-15,216.1,191.9,,206.6,6.6,4.6,5.9,6.4,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2014-15,,,,,5.9,4.2,5.0,3.6,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2014-15,229.7,216.0,273.1,217.5,5.7,3.3,5.4,5.2,2014,"Financial Year (Apr - Mar), 2014"
Jammu & Kashmir,2014-15,413.6,367.7,,382.1,7.2,4.3,6.0,6.0,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2014-15,,,,,4.9,2.9,4.7,4.8,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2014-15,286.2,205.1,230.5,211.5,5.9,5.1,6.5,6.7,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2014-15,787.9,575.1,,609.7,10.3,7.2,7.3,6.5,2014,"Financial Year (Apr - Mar), 2014"
Lakshadweep,2014-15,,,,,10.6,0.7,7.6,0.2,2014,"Financial Year (Apr - Mar), 2014"
Andaman & Nicobar,2014-15,,,,,7.7,2.2,6.7,4.4,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2014-15,357.1,340.1,,334.2,7.1,1.6,5.6,5.1,2014,"Financial Year (Apr - Mar), 2014"
Gujarat,2014-15,230.9,160.0,185.6,182.8,6.4,4.3,5.5,4.7,2014,"Financial Year (Apr - Mar), 2014"
Goa,2014-15,,,,,9.8,0.9,6.5,3.6,2014,"Financial Year (Apr - Mar), 2014"
Delhi,2014-15,,,,,4.8,3.0,5.6,8.8,2014,"Financial Year (Apr - Mar), 2014"
Daman & Diu,2014-15,,,,,7.7,5.0,7.0,8.1,2014,"Financial Year (Apr - Mar), 2014"
Gujarat,2015-16,233.7,177.6,191.6,193.5,5.7,4.6,4.9,3.4,2015,"Financial Year (Apr - Mar), 2015"
Andaman & Nicobar,2015-16,,,,,9.8,-0.1,6.4,4.5,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2015-16,257.5,213.3,,223.1,9.0,4.5,7.4,6.4,2015,"Financial Year (Apr - Mar), 2015"
Assam,2015-16,265.3,215.7,,225.7,4.6,4.7,4.8,4.0,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2015-16,240.9,207.1,166.6,220.3,4.0,5.5,4.5,5.1,2015,"Financial Year (Apr - Mar), 2015"
Chandigarh,2015-16,,,,,4.0,1.7,3.6,3.4,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015-16,,,,,5.7,12.3,6.8,4.9,2015,"Financial Year (Apr - Mar), 2015"
Dadra & Nagar Haveli,2015-16,,,,,6.9,9.4,5.3,4.9,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,2015-16,,,,,9.4,17.9,9.2,7.5,2015,"Financial Year (Apr - Mar), 2015"
Delhi,2015-16,,,,,3.9,1.0,4.9,7.9,2015,"Financial Year (Apr - Mar), 2015"
Goa,2015-16,,,,,6.5,1.7,4.7,3.8,2015,"Financial Year (Apr - Mar), 2015"
Haryana,2015-16,364.0,352.7,,348.7,3.5,2.1,4.0,4.4,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,2015-16,325.7,317.3,,265.3,5.8,2.9,4.3,1.7,2015,"Financial Year (Apr - Mar), 2015"
Jammu & Kashmir,2015-16,422.3,394.5,,406.7,6.4,7.0,6.0,4.9,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015-16,,,,,4.6,7.2,5.1,3.7,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2015-16,304.1,228.3,260.0,227.1,8.4,5.8,6.7,5.7,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015-16,777.3,608.8,,617.0,3.6,8.3,4.2,6.3,2015,"Financial Year (Apr - Mar), 2015"
Lakshadweep,2015-16,,,,,6.0,0.3,5.1,0.3,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015-16,185.5,160.4,162.4,166.3,4.5,5.9,4.4,4.6,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2015-16,266.2,195.9,218.7,206.8,5.4,4.7,4.4,3.3,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2015-16,332.1,,,,7.5,3.9,5.1,4.3,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2015-16,229.2,212.4,161.0,198.0,7.3,4.3,7.5,3.4,2015,"Financial Year (Apr - Mar), 2015"
Mizoram,2015-16,,,,,3.2,9.6,4.0,2.3,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2015-16,,,,,4.5,7.5,5.8,3.7,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015-16,209.2,191.3,152.8,186.2,7.1,4.0,6.4,4.2,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2015-16,,,,,13.2,-0.6,8.4,10.6,2015,"Financial Year (Apr - Mar), 2015"
Punjab,2015-16,318.1,305.3,281.7,285.8,3.3,2.5,3.5,3.7,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,2015-16,338.6,285.2,,294.7,5.2,7.3,5.7,6.1,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2015-16,,,,,7.8,-2.1,7.0,4.1,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,2015-16,396.5,357.0,356.0,373.9,7.0,3.5,5.7,6.5,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015-16,,,,,7.2,4.0,5.5,4.2,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2015-16,200.0,209.6,,200.0,0.6,7.9,2.7,7.5,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2015-16,235.5,199.6,,213.6,3.8,5.8,4.1,5.2,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2015-16,,,,,4.0,-0.3,3.2,2.7,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015-16,241.6,220.2,289.9,237.1,2.1,6.7,3.5,3.1,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2016-17,,,,,2.3,2.6,3.5,6.1,2016,"Financial Year (Apr - Mar), 2016"
Dadra & Nagar Haveli,2016-17,,,,,6.2,9.6,5.6,3.8,2016,"Financial Year (Apr - Mar), 2016"
Daman & Diu,2016-17,,,,,6.1,3.1,5.0,3.8,2016,"Financial Year (Apr - Mar), 2016"
Delhi,2016-17,,,,,4.4,-1.2,5.3,7.4,2016,"Financial Year (Apr - Mar), 2016"
Goa,2016-17,,,,,3.8,3.3,5.1,9.0,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2016-17,237.4,184.0,192.1,204.3,5.6,3.6,5.1,3.9,2016,"Financial Year (Apr - Mar), 2016"
Haryana,2016-17,367.7,359.3,,352.7,4.1,4.6,4.4,5.0,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2016-17,341.3,339.8,,303.4,4.2,5.7,4.6,4.0,2016,"Financial Year (Apr - Mar), 2016"
Jammu & Kashmir,2016-17,430.1,409.8,,408.8,5.0,7.8,5.3,2.7,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016-17,,,,,5.9,4.7,5.3,2.8,2016,"Financial Year (Apr - Mar), 2016"
Karnataka,2016-17,319.9,251.9,280.6,238.5,4.3,4.5,4.4,5.2,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2016-17,787.5,644.0,,615.6,3.8,2.4,4.3,5.5,2016,"Financial Year (Apr - Mar), 2016"
Lakshadweep,2016-17,,,,,0.7,3.5,1.1,0.1,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2016-17,200.5,173.1,164.3,184.4,2.7,3.7,3.5,4.1,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2016-17,282.1,196.8,146.7,215.9,4.6,2.9,4.4,3.7,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2016-17,336.7,,,,8.5,15.5,10.1,6.4,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2016-17,186.0,221.4,,210.3,0.4,-1.3,0.6,1.5,2016,"Financial Year (Apr - Mar), 2016"
Mizoram,2016-17,,,,,-0.1,1.5,2.1,2.3,2016,"Financial Year (Apr - Mar), 2016"
Nagaland,2016-17,,,,,4.2,13.7,5.1,5.6,2016,"Financial Year (Apr - Mar), 2016"
Odisha,2016-17,231.7,208.7,174.7,207.8,4.5,2.7,4.9,4.6,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2016-17,,,,,-1.2,1.4,1.3,4.1,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2016-17,321.2,319.3,,300.5,4.5,3.6,4.4,3.4,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2016-17,350.7,285.5,,300.1,4.7,5.9,5.4,8.1,2016,"Financial Year (Apr - Mar), 2016"
Sikkim,2016-17,,,,,9.2,20.3,9.9,4.0,2016,"Financial Year (Apr - Mar), 2016"
Tamil Nadu,2016-17,420.8,378.7,413.9,389.6,3.3,-0.7,3.9,6.6,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2016-17,,,,,7.0,3.8,6.1,7.1,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2016-17,212.5,225.0,,212.5,3.2,6.5,4.1,7.8,2016,"Financial Year (Apr - Mar), 2016"
Uttar Pradesh,2016-17,250.2,211.8,,222.7,4.1,3.1,4.3,5.6,2016,"Financial Year (Apr - Mar), 2016"
Uttarakhand,2016-17,,,,,4.6,3.9,3.7,1.6,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2016-17,265.9,237.6,310.0,259.9,5.5,3.5,5.0,3.4,2016,"Financial Year (Apr - Mar), 2016"
Chandigarh,2016-17,,,,,4.2,4.3,3.9,1.9,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2016-17,254.4,212.7,182.5,228.6,4.1,3.1,3.9,4.9,2016,"Financial Year (Apr - Mar), 2016"
Assam,2016-17,283.8,229.3,,233.8,2.1,1.4,2.6,4.3,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2016-17,276.6,249.1,,232.4,4.9,2.9,5.2,7.3,2016,"Financial Year (Apr - Mar), 2016"
Andaman & Nicobar,2016-17,,,,,7.3,1.4,6.2,4.4,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2017-18,814.5,659.8,,625.6,8.3,7.2,6.0,6.0,2017,"Financial Year (Apr - Mar), 2017"
Andaman & Nicobar,2017-18,,,,,1.5,12.6,3.6,13.3,2017,"Financial Year (Apr - Mar), 2017"
Andhra Pradesh,2017-18,291.0,269.5,202.9,247.5,1.7,7.0,3.4,5.8,2017,"Financial Year (Apr - Mar), 2017"
Assam,2017-18,287.9,237.5,,245.5,3.2,7.9,4.4,4.2,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2017-18,268.6,223.0,193.7,237.2,1.4,5.7,2.7,7.1,2017,"Financial Year (Apr - Mar), 2017"
Chandigarh,2017-18,,,,,1.8,2.5,3.8,9.1,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2017-18,,,,,0.0,7.7,2.7,7.3,2017,"Financial Year (Apr - Mar), 2017"
Dadra & Nagar Haveli,2017-18,,,,,2.3,0.3,2.8,4.1,2017,"Financial Year (Apr - Mar), 2017"
Daman & Diu,2017-18,,,,,4.8,13.2,6.5,3.8,2017,"Financial Year (Apr - Mar), 2017"
Delhi,2017-18,,,,,4.6,3.4,4.8,7.1,2017,"Financial Year (Apr - Mar), 2017"
Goa,2017-18,,,,,4.3,7.6,3.8,3.8,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2017-18,249.3,187.9,203.1,216.1,1.5,4.1,2.6,4.7,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2017-18,371.0,361.4,,355.5,3.3,5.8,4.1,7.4,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2017-18,354.8,368.3,,330.4,3.7,10.0,4.6,7.5,2017,"Financial Year (Apr - Mar), 2017"
Jammu & Kashmir,2017-18,442.9,436.0,,417.3,7.3,9.5,6.8,7.3,2017,"Financial Year (Apr - Mar), 2017"
Jharkhand,2017-18,,,,,2.3,8.2,3.9,4.5,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2017-18,329.6,267.3,286.6,242.4,1.8,6.4,3.0,5.5,2017,"Financial Year (Apr - Mar), 2017"
Lakshadweep,2017-18,,,,,2.8,10.0,5.0,41.2,2017,"Financial Year (Apr - Mar), 2017"
Madhya Pradesh,2017-18,219.5,191.3,176.3,198.1,0.2,6.3,2.7,8.7,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2017-18,296.3,207.4,222.5,226.7,2.2,5.8,4.1,6.2,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2017-18,338.1,,,,8.4,34.3,12.4,5.7,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,2017-18,100.0,225.0,,215.3,1.3,2.5,1.5,2.6,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2017-18,,,,,1.7,4.4,1.9,0.9,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2017-18,,,,,3.6,10.4,3.4,3.6,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2017-18,256.1,222.6,175.0,221.2,0.8,2.6,2.2,5.0,2017,"Financial Year (Apr - Mar), 2017"
Puducherry,2017-18,,,,,0.5,9.1,2.3,2.6,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2017-18,338.0,324.6,,313.1,3.3,2.6,3.7,3.5,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2017-18,351.3,287.1,,301.2,1.5,5.8,3.2,7.6,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2017-18,,,,,0.4,23.0,4.0,5.8,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2017-18,431.2,385.9,422.2,401.7,4.5,10.6,4.9,6.3,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2017-18,,,,,3.1,7.1,3.9,5.3,2017,"Financial Year (Apr - Mar), 2017"
