ROWID,Country,State lgd code,State,YearCode,Year,Average daily wage rates for male construction workers in rural areas,Average daily wage rates for male general agricultural labourers in rural areas,Average daily wage rates for Horticulture workers in rural areas,Average daily wage rates for male non-agricultural labourers in rural areas,Consumer Price Index (CPI) for Food and Beverages (%),Consumer Price Index (CPI)  for Fuel and Light (%),Consumer Price Index (CPI) or General Inflation (%),Consumer Price Index (CPI) or Inflation for Urban Housing (%)
1,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",413.6,367.7,,382.1,7.2,4.3,6.0,6.0
2,India,1,Jammu And Kashmir,2015,"Financial Year (Apr - Mar), 2015",422.3,394.5,,406.7,6.4,7.0,6.0,4.9
3,India,1,Jammu And Kashmir,2016,"Financial Year (Apr - Mar), 2016",430.1,409.8,,408.8,5.0,7.8,5.3,2.7
4,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",442.9,436.0,,417.3,7.3,9.5,6.8,7.3
5,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",450.6,443.6,,433.9,1.9,10.3,5.3,12.9
6,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",463.6,451.6,,452.8,3.2,-1.1,4.3,11.5
7,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",492.6,501.1,,483.0,6.7,5.0,6.3,4.8
8,India,2,Himachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",317.3,308.9,,256.0,6.8,7.2,6.2,4.0
9,India,2,Himachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",325.7,317.3,,265.3,5.8,2.9,4.3,1.7
10,India,2,Himachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",341.3,339.8,,303.4,4.2,5.7,4.6,4.0
11,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",354.8,368.3,,330.4,3.7,10.0,4.6,7.5
12,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",359.9,388.6,,336.4,-3.0,0.0,0.5,7.8
13,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",435.8,419.0,,344.1,3.7,-2.9,3.5,3.7
14,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",445.8,421.7,,342.1,6.2,-5.7,5.2,3.3
15,India,3,Punjab,2014,"Financial Year (Apr - Mar), 2014",296.2,284.1,279.2,268.9,6.5,4.2,5.7,3.1
16,India,3,Punjab,2015,"Financial Year (Apr - Mar), 2015",318.1,305.3,281.7,285.8,3.3,2.5,3.5,3.7
17,India,3,Punjab,2016,"Financial Year (Apr - Mar), 2016",321.2,319.3,,300.5,4.5,3.6,4.4,3.4
18,India,3,Punjab,2017,"Financial Year (Apr - Mar), 2017",338.0,324.6,,313.1,3.3,2.6,3.7,3.5
19,India,3,Punjab,2018,"Financial Year (Apr - Mar), 2018",347.4,337.7,,319.2,1.1,4.2,3.8,3.4
20,India,3,Punjab,2019,"Financial Year (Apr - Mar), 2019",370.9,349.2,,331.9,6.9,-0.3,5.0,3.0
21,India,3,Punjab,2020,"Financial Year (Apr - Mar), 2020",382.0,357.0,,344.2,5.9,2.7,5.3,2.8
22,India,4,Chandigarh,2014,"Financial Year (Apr - Mar), 2014",,,,,7.3,13.7,6.4,6.4
23,India,4,Chandigarh,2015,"Financial Year (Apr - Mar), 2015",,,,,4.0,1.7,3.6,3.4
24,India,4,Chandigarh,2016,"Financial Year (Apr - Mar), 2016",,,,,4.2,4.3,3.9,1.9
25,India,4,Chandigarh,2017,"Financial Year (Apr - Mar), 2017",,,,,1.8,2.5,3.8,9.1
26,India,4,Chandigarh,2018,"Financial Year (Apr - Mar), 2018",,,,,-0.7,2.7,4.0,9.4
27,India,4,Chandigarh,2019,"Financial Year (Apr - Mar), 2019",,,,,9.4,-4.5,4.8,3.6
28,India,4,Chandigarh,2020,"Financial Year (Apr - Mar), 2020",,,,,5.6,4.4,4.8,2.2
29,India,5,Uttarakhand,2014,"Financial Year (Apr - Mar), 2014",,,,,5.9,4.2,5.0,3.6
30,India,5,Uttarakhand,2015,"Financial Year (Apr - Mar), 2015",,,,,4.0,-0.3,3.2,2.7
31,India,5,Uttarakhand,2016,"Financial Year (Apr - Mar), 2016",,,,,4.6,3.9,3.7,1.6
32,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",,,,,2.1,9.5,3.9,9.4
33,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",,,,,1.4,7.7,4.0,9.8
