srcStateName,srcYear,Required Doctors at Public Health Centers,Sanctioned Doctors at Public Health Centers,Doctors In Position at Public Health Centers,Doctors Vacant at Public Health Centers,Doctors Shortfall at Public Health Centers,"Required Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)","Sanctioned Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)","In Position Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)","Vacant position of Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)","Shortfall of Doctors (Surgeons, Obstetrics and Gynecology Doctors ( OB&GY ), Physicians and Paediatricians) at Community Health Centers (CHCs)",YearCode,Year
Uttarakhand,2020,257,476,346,130,,224,236,32,204,192,2020,"Calendar Year (Jan - Dec), 2020"
Tripura,2020,107,,222,,,88,,1,,87,2020,"Calendar Year (Jan - Dec), 2020"
Telangana,2020,636,1254,1213,41,,340,625,258,367,82,2020,"Calendar Year (Jan - Dec), 2020"
Tamil Nadu,2020,1420,2976,2708,268,,1540,319,228,91,1312,2020,"Calendar Year (Jan - Dec), 2020"
Sikkim,2020,24,48,34,14,,8,4,2,2,6,2020,"Calendar Year (Jan - Dec), 2020"
Rajasthan,2020,2094,2170,1845,325,249,2192,1376,438,938,1754,2020,"Calendar Year (Jan - Dec), 2020"
Punjab,2020,427,585,391,194,36,572,485,139,346,433,2020,"Calendar Year (Jan - Dec), 2020"
Odisha,2020,1288,1288,827,461,461,1508,1482,313,1169,1195,2020,"Calendar Year (Jan - Dec), 2020"
Nagaland,2020,130,113,120,,10,84,2,9,,75,2020,"Calendar Year (Jan - Dec), 2020"
Mizoram,2020,57,,58,,,36,,0,,36,2020,"Calendar Year (Jan - Dec), 2020"
Meghalaya,2020,119,91,190,,,112,5,4,1,108,2020,"Calendar Year (Jan - Dec), 2020"
Manipur,2020,85,170,311,,,68,24,4,20,64,2020,"Calendar Year (Jan - Dec), 2020"
Maharashtra,2020,1829,3587,2848,739,,1112,558,399,159,713,2020,"Calendar Year (Jan - Dec), 2020"
Madhya Pradesh,2020,1199,1525,1065,460,134,1236,1032,46,986,1190,2020,"Calendar Year (Jan - Dec), 2020"
Kerala,2020,784,1237,1028,209,,844,192,173,19,671,2020,"Calendar Year (Jan - Dec), 2020"
Karnataka,2020,2176,2323,2071,252,105,756,499,252,247,504,2020,"Calendar Year (Jan - Dec), 2020"
Jharkhand,2020,291,330,222,108,69,684,339,179,160,505,2020,"Calendar Year (Jan - Dec), 2020"
Himachal Pradesh,2020,564,722,471,251,93,340,16,21,,319,2020,"Calendar Year (Jan - Dec), 2020"
Haryana,2020,385,766,491,275,,472,135,27,108,445,2020,"Calendar Year (Jan - Dec), 2020"
Gujarat,2020,1477,1869,1490,379,,1392,268,13,255,1379,2020,"Calendar Year (Jan - Dec), 2020"
Goa,2020,55,72,75,,,24,12,14,,10,2020,"Calendar Year (Jan - Dec), 2020"
Chhattisgarh,2020,792,811,388,423,404,680,581,62,519,618,2020,"Calendar Year (Jan - Dec), 2020"
Bihar,2020,1702,4129,1745,2384,,228,636,124,512,104,2020,"Calendar Year (Jan - Dec), 2020"
Assam,2020,946,906,1424,,,760,126,188,,572,2020,"Calendar Year (Jan - Dec), 2020"
Arunachal Pradesh,2020,119,,194,,,240,,14,,226,2020,"Calendar Year (Jan - Dec), 2020"
Andhra Pradesh,2020,1142,1861,1798,63,,564,378,315,63,249,2020,"Calendar Year (Jan - Dec), 2020"
Chandigarh,2020,0,,,,,0,,,,,2020,"Calendar Year (Jan - Dec), 2020"
Puducherry,2015,24,38,38,0,,12,2,3,,9,2015,"Calendar Year (Jan - Dec), 2015"
Lakshadweep,2015,4,9,9,0,,12,0,0,0,12,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015,5,21,21,0,,0,0,0,0,0,2015,"Calendar Year (Jan - Dec), 2015"
Daman & Diu,2015,3,3,5,,,8,2,1,1,7,2015,"Calendar Year (Jan - Dec), 2015"
