srcYear,srcStateName,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank,YearCode,Year
2011,Jammu and Kashmir,1003.6,1018,2296,1357,1245,256,26980,67,63.3,50.9,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Karnataka,882.2,4662,11546,5047,4396,3073,281773,20770,17.3,87.76,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Kerala,558.0,1777,3719,1802,1457,1050,201220,4341,18.3,100.01,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Lakshadweep,412.2,3,11,3,,,190,,25.7,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Madhya Pradesh,640.4,3864,8381,4844,5027,4955,197293,10249,37.6,48.88,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Maharashtra,1104.7,10702,22645,12830,4191,5602,410521,32823,20.7,68.97,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Manipur,233.1,51,158,57,959,1,19133,1137,50.9,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Meghalaya,583.1,135,290,155,810,,11984,1134,35.8,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Mizoram,354.5,32,139,37,927,2,9810,700,45.6,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Nagaland,261.3,52,103,58,494,13,34146,763,48.2,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Odisha,609.9,2245,5379,2251,3704,2461,258836,3576,42.5,56.37,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Puducherry,2092.7,204,264,212,53,11,2740,40,12.4,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Punjab,1716.0,4180,7019,4448,1557,2134,84193,1477,25.1,104.09,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Rajasthan,793.5,4484,8975,4526,5585,5784,241318,11300,27.9,65.35,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Sikkim,743.3,40,201,40,62,,4630,179,33.7,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Tamil Nadu,1203.4,7510,15515,8031,4832,4062,192339,10561,13.5,97.73,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Telangana,,,,,,,,,,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Tripura,250.4,80,265,88,400,151,33772,689,27.4,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Uttar Pradesh,390.2,6485,10458,7629,6774,8763,390256,7941,34.0,52.97,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Uttarakhand,1090.2,926,2455,985,2042,345,49277,3788,30.0,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,West Bengal,447.1,3585,8317,3648,2578,3937,299209,4505,22.4,53.43,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Andaman and Nicobar Islands,505.4,18,65,24,300,,1386,229,20.7,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Andhra Pradesh,1003.1,7645,15036,7897,4537,5264,238001,10491,16.6,74.35,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Arunachal Pradesh,397.1,44,213,51,1992,1,21555,,47.1,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Assam,189.9,506,979,540,2836,2434,241789,3134,34.2,38.98,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Bihar,129.8,1077,1922,1238,3642,3612,130642,3989,50.8,42.32,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Chandigarh,1686.6,152,100,152,24,16,2284,,20.3,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Chhattisgarh,487.9,1017,4882,1034,2184,1187,93965,5240,15.1,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Dadra and Nagar Haveli,20064.4,442,61,443,,,808,42,10.1,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Daman and Diu,12622.9,200,33,218,,,236,,16.8,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Delhi,1845.3,2556,5802,2563,80,183,29648,,20.0,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Goa,2292.1,309,387,315,269,69,10627,279,15.3,,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Gujarat,1332.8,6753,15723,7165,3245,5271,156188,18421,19.2,81.9,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Haryana,1543.0,3263,5985,3455,1518,1540,41729,2521,29.7,82.59,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Himachal Pradesh,1211.6,736,2327,763,1409,296,47963,1626,22.2,111.11,,,2011,"Financial Year (Apr - Mar), 2011"
2011,Jharkhand,222.1,599,1984,620,1805,1984,23903,1886,17.1,,,,2011,"Financial Year (Apr - Mar), 2011"
2012,Telangana,,,,,,,,,,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Andaman and Nicobar Islands,536.9,20,65,24,300,,1319,246,18.2,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Andhra Pradesh,1005.7,8515,16095,9173,4537,5264,256448,10650,17.5,80.87,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Arunachal Pradesh,400.0,55,214,60,2027,1,14980,,46.3,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Assam,182.7,570,1020,603,2940,2459,284232,3134,33.5,46.61,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Bihar,108.5,1126,1834,1431,4106,3598,138517,4857,50.9,48.9,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Chandigarh,1482.9,156,102,157,24,16,1928,,23.7,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Chhattisgarh,572.2,1462,5347,1501,2289,1188,75742,5240,16.5,,,,2012,"Financial Year (Apr - Mar), 2012"
