ROWID,Country,State lgd code,State,YearCode,Year,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank
1,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",,,,,,93.663133095424608,,,,3.01,,
2,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",728.2,724.96678317553993087049,1473.47781911997425733082,798.54257307833491708874,802.966234765983879,134.640753824672874,21280.068707753188803,65.369061639515091,41.1,5.09,,
3,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",756.3,752.43507807258339239197,1427.37032411422273263405,909.39676319854602965757,1214.693757331287885,134.640753824672874,21506.421279400464939,65.369061639515091,44.9,12.18,,
4,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",787.0,782.84640456573865336218,1595.12312509259530121166,1150.72535407971358445343,1214.693757331287885,134.640753824672874,21521.056143946625034,65.369061639515091,52.0,16.08,,
5,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",824.4,820.12480478315477971276,1676.54699925168841929319,1155.63040673989991686798,1214.693757331287885,159.032194734939699,21779.605417595453379,65.369061639515091,55.7,21.84,,
6,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",857.5,853.47916287242184013170,2118.00173866845833660269,1125.21908024674465589777,1214.693757331287885,233.182175102150847,23982.640360610753013,65.369061639515091,58.0,32.76,,
7,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",979.2,974.14345831300561752963,2221.00784453237131730824,1294.93390228919175744120,1214.693757331287885,249.768354921132288,25142.697290303043210,65.369061639515091,67.4,49.91,,
8,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",1003.6,998.66872161393727960238,2252.40018155756384476136,1331.23129197457061730887,1214.693757331287885,249.768354921132288,26323.243030359957540,65.369061639515091,63.3,50.9,,
9,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",867.7,1068.32046938858319988899,2263.19129740997377607337,1397.94000815310473814675,1214.693757331287885,249.768354921132288,35468.082056437195569,65.369061639515091,61.8,54.82,,
10,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",921.0,1134.04817503508005424396,2348.53921369721596008654,1511.73722986942765016431,1653.739693716090735,249.768354921132288,43511.403611006783781,,56.6,58.57,,
11,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",971.2,1195.85183855342784266729,2530.02616212411025942489,1531.35744051017297982251,2262.550058836350687,266.354534740113729,38155.043187112189011,127.811150369798163,54.7,66.8,,
12,India,1,Jammu And Kashmir,2015,"Financial Year (Apr - Mar), 2015",1045.4,1287.08581803289362557792,2561.41849914930278687801,1590.21807243240896879711,2529.880251212875089,290.745975650380554,38144.310953111671608,127.811150369798163,53.1,76.93,6,28.36567894142197219890
13,India,1,Jammu And Kashmir,2016,"Financial Year (Apr - Mar), 2016",1118.6,1377.33878698032214200564,3062.71488102034595964502,1625.53445158575056218187,2537.685512304160473,290.745975650380554,48505.795051793018868,126.835492733387490,50.1,80.02,0,30.32193266152003924710
14,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",1131.3,1393.03495549291840573220,3211.82848189001046504734,1706.95832574484368026340,2537.685512304160473,290.745975650380554,61843.034941526918778,126.835492733387490,47.0,95.91,33,21.51879092107873753020
15,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",1199.3,1476.42085071608605677955,3324.64469307429611058199,1845.28081076209825435371,,290.745975650380554,106031.544952202709621,302.453867287308630,45.47,109.19,,
16,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",1264.5,1532.33845104221024630542,3329.54974573448244299654,1921.79963226100504002069,2364.018453023060679,290.745975650380554,,,42.19,89.43,,20.54066406102970400610
17,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",1316.6,1595.12312509259530121166,3352.11298797133957210347,1964.96409567064476526873,,290.745975650380554,,,,92.91,,
18,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",1394.5,1689.30013616817288357102,3411.95463042561282756098,1939.45782183767583671307,2364.018453023060679,,,,,89.01,,
19,India,2,Himachal Pradesh,2004,"Financial Year (Apr - Mar), 2004",,,,,,269,,,,10.14,,
20,India,2,Himachal Pradesh,2005,"Financial Year (Apr - Mar), 2005",644.5,392,1687,400,1208,285,23452,2164,28.9,13.12,,
21,India,2,Himachal Pradesh,2006,"Financial Year (Apr - Mar), 2006",700.6,426,1656,430,1208,285,23614,2164,23.6,18.78,,
22,India,2,Himachal Pradesh,2007,"Financial Year (Apr - Mar), 2007",822.0,500,1836,514,1208,285,34954,1824,19.8,28.57,,
23,India,2,Himachal Pradesh,2008,"Financial Year (Apr - Mar), 2008",956.6,581,1858,599,1208,285,36298,1824,17.0,41.16,,
24,India,2,Himachal Pradesh,2009,"Financial Year (Apr - Mar), 2009",1026.8,624,1896,626,1409,285,44467,1626,15.5,55.5,,
25,India,2,Himachal Pradesh,2010,"Financial Year (Apr - Mar), 2010",1113.7,677,2030,705,1409,296,46734,1626,20.5,79.35,,
26,India,2,Himachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",1211.6,736,2327,763,1409,296,47963,1626,22.2,111.11,,
27,India,2,Himachal Pradesh,2012,"Financial Year (Apr - Mar), 2012",1182.4,811,3585,816,1506,296,50449,1626,18.6,120.68,,
28,India,2,Himachal Pradesh,2013,"Financial Year (Apr - Mar), 2013",1275.3,874,3770,899,1506,296,53223,1504,19.1,105.39,,
29,India,2,Himachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",1295.6,888,3986,909,2196,296,54388,1504,21.0,105.59,,
30,India,2,Himachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",1273.0,873,4579,881,2466,296,55593,1466,20.8,114.52,24,17
31,India,2,Himachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",1277.3,876,4424,882,2642,296,55759,1466,18.8,127.61,65,17
32,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",1280.4,878,3893,883,2643,296,62812,827,22.4,147.86,88,16
33,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",1362.9,935,4047,940,,296,61899,827,21.78,174.46,,
34,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",1402.7,962,4068,985,2607,312,,,14.29,146.37,,7
35,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",1509.9,1035,4007,1042,,312,,,,148.85,,
