srcStateName,srcYear,TRU,Government hospitals,Beds in government hospitals,Average beds per government hospital,YearCode,Year
Rajasthan,2019,Rural,2094,12564,6,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2019,Urban,305,15440,51,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2019,Rural,511,5801,11,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,2019,Urban,23,4674,203,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,2019,Rural,21,94,4,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,2019,Urban,151,12180,81,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,2019,Rural,1655,6339,4,2019,"Calendar Year (Jan - Dec), 2019"
NCT of Delhi,2019,Urban,107,27154,254,2019,"Calendar Year (Jan - Dec), 2019"
NCT of Delhi,2019,Rural,0,0,,2019,"Calendar Year (Jan - Dec), 2019"
Meghalaya,2019,Urban,14,2467,176,2019,"Calendar Year (Jan - Dec), 2019"
Meghalaya,2019,Rural,140,2000,14,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,2019,Urban,149,22078,148,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,2019,Rural,365,10950,30,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,2019,Urban,135,21206,157,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,2019,Rural,330,9900,30,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019,Urban,209,21974,105,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019,Rural,1075,16123,15,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,2019,Urban,375,49328,132,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,2019,Rural,2467,21146,9,2019,"Calendar Year (Jan - Dec), 2019"
Jharkhand,2019,Urban,92,5694,62,2019,"Calendar Year (Jan - Dec), 2019"
Jharkhand,2019,Rural,4371,9197,2,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,2019,Urban,95,7668,81,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,2019,Rural,727,7114,10,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,2019,Urban,86,5575,65,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,2019,Rural,592,7015,12,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,2019,Urban,420,9485,23,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,2019,Rural,1825,19917,11,2019,"Calendar Year (Jan - Dec), 2019"
Goa,2019,Urban,25,1601,64,2019,"Calendar Year (Jan - Dec), 2019"
Goa,2019,Rural,18,1485,83,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,2019,Urban,49,410,8,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,2019,Rural,198,9200,46,2019,"Calendar Year (Jan - Dec), 2019"
Chandigarh,2019,Urban,49,3758,77,2019,"Calendar Year (Jan - Dec), 2019"
Chandigarh,2019,Rural,0,0,,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,2019,Urban,9,2000,222,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,2019,Rural,24,260,11,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,2019,Urban,43,1448,34,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,2019,Rural,56,574,10,2019,"Calendar Year (Jan - Dec), 2019"
Lakshadweep,2019,Urban,,,,2019,"Calendar Year (Jan - Dec), 2019"
Lakshadweep,2019,Rural,12,250,21,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019,Urban,10,268,27,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019,Rural,208,2136,10,2019,"Calendar Year (Jan - Dec), 2019"
Andaman & Nicobar,2019,Urban,3,585,195,2019,"Calendar Year (Jan - Dec), 2019"
Andaman & Nicobar,2019,Rural,27,617,23,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,2019,Urban,116,5134,44,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,2019,Rural,502,2972,6,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,2019,Urban,208,26570,128,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,2019,Rural,4475,40130,9,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2019,Urban,23,2397,104,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2019,Rural,132,1946,15,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,2019,Urban,,,,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,2019,Rural,677,5094,,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,2019,Urban,627,70975,113,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,2019,Rural,1880,28460,15,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,2019,Urban,755,34214,45,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019,Urban,186,17592,95,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019,Rural,1946,11747,6,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019,Urban,5443,77034,14,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019,Rural,791,9687,12,2019,"Calendar Year (Jan - Dec), 2019"
