srcStateName,srcYear,Gross sown area ,Net Sown Area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%),YearCode,Year
Goa,2011-12,164,132,41,41,124.4,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011-12,22516,15237,8228,7887,147.8,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011-12,13759,11161,6785,5090,123.3,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011-12,281,215,57,57,131,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011-12,4174,2811,163,161,148.5,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011-12,7647,5396,5158,3052,141.7,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011-12,5664,4677,1648,1415,121.1,2011,"Calendar Year (Jan - Dec), 2011"
NCT of Delhi,2011-12,40,22,31,22,182.1,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011-12,13086,10302,6305,4233,127,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011-12,6489,3513,5680,3073,184.7,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011-12,932,550,198,113,169.4,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011-12,1161,746,480,319,155.6,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011-12,1430,1250,162,153,114.4,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011-12,12059,9941,4137,3440,121.3,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011-12,2662,2040,546,409,130.5,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011-12,22080,17386,4173,3252,127,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011-12,365,365,69,69,100,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011-12,339,285,80,65,118.9,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011-12,97,97,13,13,100,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011-12,474,379,92,84,125,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011-12,4964,4394,1437,1259,113,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011-12,27,18,22,15,151.6,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011-12,7905,4134,7771,4086,191.2,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011-12,24505,18034,8903,7122,135.9,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011-12,137,77,14,14,177.8,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011-12,5890,4986,3519,2964,118.1,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011-12,472,255,111,72,184.9,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011-12,25939,16623,19901,13809,156,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011-12,1132,714,555,339,158.5,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011-12,9353,5198,5502,3078,179.9,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2012-13,2592,2048,458,396,126.5,2012,"Calendar Year (Jan - Dec), 2012"
Andhra Pradesh,2012-13,13650,11117,6268,4575,122.8,2012,"Calendar Year (Jan - Dec), 2012"
Arunachal Pradesh,2012-13,285,216,57,57,131.7,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012-13,4076,2809,378,321,145.1,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012-13,7778,5402,5327,3053,144,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012-13,5691,4671,1725,1449,121.8,2012,"Calendar Year (Jan - Dec), 2012"
NCT of Delhi,2012-13,48,22,34,22,218.7,2012,"Calendar Year (Jan - Dec), 2012"
Goa,2012-13,163,132,36,36,123.2,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012-13,12600,10302,5913,4233,122.3,2012,"Calendar Year (Jan - Dec), 2012"
Haryana,2012-13,6376,3513,5672,3102,181.5,2012,"Calendar Year (Jan - Dec), 2012"
Himachal Pradesh,2012-13,934,548,201,114,170.4,2012,"Calendar Year (Jan - Dec), 2012"
Jammu and Kashmir,2012-13,1162,745,487,325,156,2012,"Calendar Year (Jan - Dec), 2012"
Jharkhand,2012-13,1657,1406,235,210,117.9,2012,"Calendar Year (Jan - Dec), 2012"
Karnataka,2012-13,11748,9793,4007,3421,120,2012,"Calendar Year (Jan - Dec), 2012"
Madhya Pradesh,2012-13,23130,15352,8966,8550,150.7,2012,"Calendar Year (Jan - Dec), 2012"
Maharashtra,2012-13,21943,17344,4050,3244,126.5,2012,"Calendar Year (Jan - Dec), 2012"
Manipur,2012-13,309,309,49,49,100,2012,"Calendar Year (Jan - Dec), 2012"
Meghalaya,2012-13,340,285,125,65,119,2012,"Calendar Year (Jan - Dec), 2012"
Mizoram,2012-13,116,116,15,14,100,2012,"Calendar Year (Jan - Dec), 2012"
Nagaland,2012-13,489,380,92,85,128.5,2012,"Calendar Year (Jan - Dec), 2012"
Odisha,2012-13,5069,4386,1496,1248,115.6,2012,"Calendar Year (Jan - Dec), 2012"
Puducherry,2012-13,26,16,22,14,161.6,2012,"Calendar Year (Jan - Dec), 2012"
Punjab,2012-13,7870,4150,7744,4115,189.6,2012,"Calendar Year (Jan - Dec), 2012"
Rajasthan,2012-13,23954,17479,9455,7499,137,2012,"Calendar Year (Jan - Dec), 2012"
Sikkim,2012-13,144,77,13,13,186.2,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012-13,5140,4544,2991,2643,113.1,2012,"Calendar Year (Jan - Dec), 2012"
Tripura,2012-13,474,255,107,81,185.9,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012-13,25821,16564,20191,13929,155.9,2012,"Calendar Year (Jan - Dec), 2012"
Uttarakhand,2012-13,1124,706,554,338,159.2,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012-13,9459,5205,5568,3082,181.7,2012,"Calendar Year (Jan - Dec), 2012"
Tripura,2013-14,474,255,107,78,186,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2013-14,8128,6448,4095,3014,126,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013-14,7580,5252,5145,2933,144.3,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,2013-14,5698,4686,1751,1462,121.6,2013,"Calendar Year (Jan - Dec), 2013"
Arunachal Pradesh,2013-14,296,225,57,57,131.4,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013-14,4100,2820,375,303,145.4,2013,"Calendar Year (Jan - Dec), 2013"
Uttarakhand,2013-14,1099,701,544,328,156.8,2013,"Calendar Year (Jan - Dec), 2013"
Goa,2013-14,158,129,38,38,122.2,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013-14,12487,10302,5939,4233,121.2,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013-14,6471,3497,5708,2931,185,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013-14,940,549,197,114,171.3,2013,"Calendar Year (Jan - Dec), 2013"
