ROWID,Country,State lgd code,State,YearCode,Year,Gross sown area ,Net sown area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%)
1,India,1,Jammu And Kashmir,1991,"Calendar Year (Jan - Dec), 1991",1054.685899102255791,716.132701148062674,433.191988160408484,305.380838500468143,147.2
2,India,1,Jammu And Kashmir,1992,"Calendar Year (Jan - Dec), 1992",1047.856295685312414,712.230070624095030,426.362384743465107,303.429523238484321,147.1
3,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",1053.710241471263880,718.084016410046496,433.191988160408484,304.405180869476232,146.7
4,India,1,Jammu And Kashmir,1994,"Calendar Year (Jan - Dec), 1994",1030.294458327458016,715.157043517070763,419.532781326521730,297.575577452532855,144.1
5,India,1,Jammu And Kashmir,1995,"Calendar Year (Jan - Dec), 1995",1046.880638054320503,716.132701148062674,429.289357636440840,376.603845562877646,146.2
6,India,1,Jammu And Kashmir,1996,"Calendar Year (Jan - Dec), 1996",1050.783268578288147,715.157043517070763,436.118961053384217,305.380838500468143,146.9
7,India,1,Jammu And Kashmir,1997,"Calendar Year (Jan - Dec), 1997",1056.637214364239613,718.084016410046496,435.143303422392306,301.478207976500499,147.1
8,India,1,Jammu And Kashmir,1998,"Calendar Year (Jan - Dec), 1998",1054.685899102255791,715.157043517070763,436.118961053384217,301.478207976500499,147.4
9,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",1051.758926209280058,715.157043517070763,427.338042374457018,295.624262190549033,147
10,India,1,Jammu And Kashmir,2000,"Calendar Year (Jan - Dec), 2000",1087.858258555980765,729.791907981949428,438.070276315368039,303.429523238484321,149
11,India,1,Jammu And Kashmir,2001,"Calendar Year (Jan - Dec), 2001",1079.077339877053566,729.791907981949428,438.070276315368039,302.453865607492410,147.8
12,India,1,Jammu And Kashmir,2002,"Calendar Year (Jan - Dec), 2002",1051.758926209280058,715.157043517070763,423.435411850489374,292.697289297573300,147.1
13,India,1,Jammu And Kashmir,2003,"Calendar Year (Jan - Dec), 2003",1075.174709353085922,728.816250350957517,435.143303422392306,299.526892714516677,147.6
14,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",1075.174709353085922,733.694538505917072,441.972906839335683,303.429523238484321,146.4
15,India,1,Jammu And Kashmir,2005,"Calendar Year (Jan - Dec), 2005",1074.199051722094011,716.132701148062674,446.851194994295238,304.405180869476232,150.1
16,India,1,Jammu And Kashmir,2006,"Calendar Year (Jan - Dec), 2006",1098.590492496891786,723.937962195997962,447.826852625287149,301.478207976500499,151.9
17,India,1,Jammu And Kashmir,2007,"Calendar Year (Jan - Dec), 2007",1106.395753544827074,716.132701148062674,451.729483149254793,300.502550345508588,154.5
18,India,1,Jammu And Kashmir,2008,"Calendar Year (Jan - Dec), 2008",1109.322726437802807,721.010989303022229,459.534744197190081,306.356496131460054,153.9
19,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",1117.127987485738095,717.108358779054585,468.315662876117280,309.283469024435787,155.7
20,India,1,Jammu And Kashmir,2010,"Calendar Year (Jan - Dec), 2010",1112.249699330778540,714.181385886078852,467.340005245125369,313.186099548403431,155.8
21,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",1132.738509581608671,727.840592719965606,468.315662876117280,311.234784286419609,155.6
22,India,1,Jammu And Kashmir,2012,"Calendar Year (Jan - Dec), 2012",1133.714167212600582,726.864935088973695,475.145266293060657,317.088730072371075,156
23,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",1131.762851950616760,722.962304565006051,475.145266293060657,315.137414810387253,156.6
