srcStateName,srcYear,GENDER,Life Expectancy,YearCode,Year
Andhra Pradesh,2011,Male,64,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011,Male,61.2,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011,Male,65.9,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011,Male,,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011,Male,,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011,Male,65.2,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011,Male,65,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011,Male,67.9,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011,Male,69.4,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011,Male,,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011,Male,65.2,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011,Male,71.5,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011,Male,61.3,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011,Male,68.3,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011,Male,62.9,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011,Male,67.7,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011,Male,65,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011,Male,67.6,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011,Male,61.9,2011,"Calendar Year (Jan - Dec), 2011"
Uttrakhand,2011,Male,,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011,Male,67.8,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011,Female,68.6,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011,Female,63.6,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011,Female,66.8,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011,Female,69.6,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011,Female,69.8,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011,Female,72.3,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011,Female,71.9,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011,Female,70,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011,Female,77.3,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011,Female,64.5,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011,Female,72.4,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011,Female,64.5,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011,Female,72.2,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011,Female,68.7,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011,Female,71.4,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011,Female,64.2,2011,"Calendar Year (Jan - Dec), 2011"
Uttrakhand,2011,Female,,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011,Female,71.3,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011,Total,66.3,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011,Total,62.2,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011,Total,66.3,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011,Total,,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011,Total,,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011,Total,67.3,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011,Total,67.3,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011,Total,70.1,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011,Total,70.5,2011,"Calendar Year (Jan - Dec), 2011"
