ROWID,Country,State lgd code,State,YearCode,Year,Gender,Life expectancy
1,India,1,Jammu And Kashmir,1995,"Calendar Year (Jan - Dec), 1995",Total,
2,India,1,Jammu And Kashmir,1997,"Calendar Year (Jan - Dec), 1997",Female,
3,India,1,Jammu And Kashmir,1997,"Calendar Year (Jan - Dec), 1997",Male,
4,India,1,Jammu And Kashmir,1997,"Calendar Year (Jan - Dec), 1997",Total,
5,India,1,Jammu And Kashmir,1998,"Calendar Year (Jan - Dec), 1998",Female,
6,India,1,Jammu And Kashmir,1998,"Calendar Year (Jan - Dec), 1998",Male,
7,India,1,Jammu And Kashmir,1998,"Calendar Year (Jan - Dec), 1998",Total,
8,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Female,
9,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Male,
10,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Total,
11,India,1,Jammu And Kashmir,2000,"Calendar Year (Jan - Dec), 2000",Female,
12,India,1,Jammu And Kashmir,2000,"Calendar Year (Jan - Dec), 2000",Male,
13,India,1,Jammu And Kashmir,2000,"Calendar Year (Jan - Dec), 2000",Total,
14,India,1,Jammu And Kashmir,2001,"Calendar Year (Jan - Dec), 2001",Female,
15,India,1,Jammu And Kashmir,2001,"Calendar Year (Jan - Dec), 2001",Male,
16,India,1,Jammu And Kashmir,2001,"Calendar Year (Jan - Dec), 2001",Total,
17,India,1,Jammu And Kashmir,2002,"Calendar Year (Jan - Dec), 2002",Female,67.3
18,India,1,Jammu And Kashmir,2002,"Calendar Year (Jan - Dec), 2002",Male,64.7
19,India,1,Jammu And Kashmir,2002,"Calendar Year (Jan - Dec), 2002",Total,65.9
20,India,1,Jammu And Kashmir,2003,"Calendar Year (Jan - Dec), 2003",Female,68
21,India,1,Jammu And Kashmir,2003,"Calendar Year (Jan - Dec), 2003",Male,64.4
22,India,1,Jammu And Kashmir,2003,"Calendar Year (Jan - Dec), 2003",Total,66
23,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Female,68.9
24,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Male,65.9
25,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Total,67.3
26,India,1,Jammu And Kashmir,2005,"Calendar Year (Jan - Dec), 2005",Female,69.9
27,India,1,Jammu And Kashmir,2005,"Calendar Year (Jan - Dec), 2005",Male,67.1
28,India,1,Jammu And Kashmir,2005,"Calendar Year (Jan - Dec), 2005",Total,68.4
29,India,1,Jammu And Kashmir,2006,"Calendar Year (Jan - Dec), 2006",Female,71
30,India,1,Jammu And Kashmir,2006,"Calendar Year (Jan - Dec), 2006",Male,69.2
31,India,1,Jammu And Kashmir,2006,"Calendar Year (Jan - Dec), 2006",Total,70
32,India,1,Jammu And Kashmir,2007,"Calendar Year (Jan - Dec), 2007",Female,70.8
33,India,1,Jammu And Kashmir,2007,"Calendar Year (Jan - Dec), 2007",Male,68.6
34,India,1,Jammu And Kashmir,2007,"Calendar Year (Jan - Dec), 2007",Total,69.6
35,India,1,Jammu And Kashmir,2008,"Calendar Year (Jan - Dec), 2008",Female,70.6
36,India,1,Jammu And Kashmir,2008,"Calendar Year (Jan - Dec), 2008",Male,69
37,India,1,Jammu And Kashmir,2008,"Calendar Year (Jan - Dec), 2008",Total,69.8
38,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Female,71.2
39,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Male,68.9
40,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Total,70
41,India,1,Jammu And Kashmir,2010,"Calendar Year (Jan - Dec), 2010",Female,71.1
42,India,1,Jammu And Kashmir,2010,"Calendar Year (Jan - Dec), 2010",Male,69.2
43,India,1,Jammu And Kashmir,2010,"Calendar Year (Jan - Dec), 2010",Total,70.1
44,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Female,71.9
45,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Male,69.4
46,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Total,70.5
47,India,1,Jammu And Kashmir,2012,"Calendar Year (Jan - Dec), 2012",Female,72.4
48,India,1,Jammu And Kashmir,2012,"Calendar Year (Jan - Dec), 2012",Male,69.9
49,India,1,Jammu And Kashmir,2012,"Calendar Year (Jan - Dec), 2012",Total,71
50,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",Female,74
51,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",Male,70.6
52,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",Total,72
53,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",Female,74.9
54,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",Male,70.9
