srcStateName,srcYear,TRU,Gender,Unemployment Rate per 1000 population,YearCode,Year
Meghalaya,2011-12,Rural,Male,4,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011-12,Urban,Overall,56,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011-12,Urban,Overall,56,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011-12,Urban,Overall,43,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011-12,Urban,Overall,35,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011-12,Urban,Overall,46,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011-12,Urban,Overall,8,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011-12,Urban,Overall,42,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011-12,Urban,Overall,40,2011,"Calendar Year (Jan - Dec), 2011"
Jammu & Kashmir,2011-12,Urban,Overall,70,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011-12,Urban,Overall,51,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011-12,Urban,Overall,29,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011-12,Urban,Overall,61,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011-12,Urban,Overall,26,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011-12,Urban,Overall,23,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011-12,Urban,Overall,71,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011-12,Urban,Overall,28,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011-12,Urban,Overall,50,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011-12,Urban,Overall,238,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011-12,Urban,Overall,35,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011-12,Urban,Overall,28,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011-12,Urban,Overall,31,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011-12,Urban,Overall,23,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011-12,Urban,Overall,27,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011-12,Urban,Overall,252,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011-12,Urban,Overall,53,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011-12,Urban,Overall,41,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011-12,Urban,Overall,48,2011,"Calendar Year (Jan - Dec), 2011"
Andaman and Nicobar Islands,2011-12,Urban,Overall,86,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011-12,Urban,Overall,64,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011-12,Urban,Overall,,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011-12,Urban,Overall,5,2011,"Calendar Year (Jan - Dec), 2011"
