ROWID,Country,State lgd code,State,YearCode,Year,Residence type,Gender,Unemployment rate per 1000 population
1,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,4
2,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,9
3,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,7
4,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,92
5,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,59
6,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,66
7,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,11
8,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,12
9,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,11
10,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,89
11,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,45
12,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,50
13,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,13
14,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,17
15,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,15
16,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,109
17,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,37
18,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,49
19,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,38
20,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,18
21,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,25
22,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,109
23,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,47
24,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,60
25,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,30
26,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,22
27,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,25
28,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,190
29,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,41
30,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,70
31,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,54
32,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,37
33,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,42
34,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,229
35,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,61
36,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,100
37,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,60
38,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,29
39,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,39
40,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,272
41,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,56
