srcStateName,srcYear,Consumption of chemical fertiliser,YearCode,Year
Uttar Pradesh,2011-12,165,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011-12,242.9,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011-12,193.7,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011-12,113.2,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011-12,214.8,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011-12,798.9,2011,"Calendar Year (Jan - Dec), 2011"
Andaman and Nicobar Islands,2011-12,50.6,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011-12,,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011-12,132.4,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011-12,84,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011-12,105.2,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011-12,137.9,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011-12,55.3,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011-12,46.5,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011-12,23.3,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011-12,45.9,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011-12,220.1,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011-12,242.6,2011,"Calendar Year (Jan - Dec), 2011"
Uttaranchal,2011-12,147,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011-12,54.1,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011-12,86.2,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011-12,14.9,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011-12,,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011-12,180.5,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011-12,136.6,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011-12,103.7,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011-12,172.9,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011-12,66,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011-12,50.2,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011-12,21.9,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011-12,14,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011-12,3,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011-12,2.4,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011-12,12.3,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011-12,,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2012-13,211.8,2012,"Calendar Year (Jan - Dec), 2012"
Andhra Pradesh,2012-13,199.7,2012,"Calendar Year (Jan - Dec), 2012"
Karnataka,2012-13,130.3,2012,"Calendar Year (Jan - Dec), 2012"
Kerala,2012-13,106.9,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012-13,184.2,2012,"Calendar Year (Jan - Dec), 2012"
Puducherry,2012-13,607.3,2012,"Calendar Year (Jan - Dec), 2012"
Andaman and Nicobar Islands,2012-13,40,2012,"Calendar Year (Jan - Dec), 2012"
Lakshadweep,2012-13,,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012-13,106.5,2012,"Calendar Year (Jan - Dec), 2012"
Madhya Pradesh,2012-13,80.8,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012-13,105.7,2012,"Calendar Year (Jan - Dec), 2012"
Maharashtra,2012-13,113,2012,"Calendar Year (Jan - Dec), 2012"
Rajasthan,2012-13,56.1,2012,"Calendar Year (Jan - Dec), 2012"
Goa,2012-13,33,2012,"Calendar Year (Jan - Dec), 2012"
Daman & Diu,2012-13,56.7,2012,"Calendar Year (Jan - Dec), 2012"
Dadra & Nagar Haveli,2012-13,40,2012,"Calendar Year (Jan - Dec), 2012"
Punjab,2012-13,250.6,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012-13,180.1,2012,"Calendar Year (Jan - Dec), 2012"
Uttaranchal,2012-13,135.7,2012,"Calendar Year (Jan - Dec), 2012"
Himachal Pradesh,2012-13,50.3,2012,"Calendar Year (Jan - Dec), 2012"
Jammu and Kashmir,2012-13,94.4,2012,"Calendar Year (Jan - Dec), 2012"
Delhi,2012-13,24.5,2012,"Calendar Year (Jan - Dec), 2012"
Chandigarh,2012-13,,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012-13,196.3,2012,"Calendar Year (Jan - Dec), 2012"
Jharkhand,2012-13,119.3,2012,"Calendar Year (Jan - Dec), 2012"
Odisha,2012-13,96.7,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012-13,161.2,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012-13,65.7,2012,"Calendar Year (Jan - Dec), 2012"
Tripura,2012-13,69.1,2012,"Calendar Year (Jan - Dec), 2012"
Manipur,2012-13,35.1,2012,"Calendar Year (Jan - Dec), 2012"
Meghalaya,2012-13,14.3,2012,"Calendar Year (Jan - Dec), 2012"
Nagaland,2012-13,4.4,2012,"Calendar Year (Jan - Dec), 2012"
Arunachal Pradesh,2012-13,2,2012,"Calendar Year (Jan - Dec), 2012"
Mizoram,2012-13,15.2,2012,"Calendar Year (Jan - Dec), 2012"
Sikkim,2012-13,,2012,"Calendar Year (Jan - Dec), 2012"
Mizoram,2013-14,27.7,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2013-14,220.1,2013,"Calendar Year (Jan - Dec), 2013"
Telangana,2013-14,213,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013-14,143.1,2013,"Calendar Year (Jan - Dec), 2013"
Puducherry,2013-14,637.7,2013,"Calendar Year (Jan - Dec), 2013"
Andaman and Nicobar Islands,2013-14,28.2,2013,"Calendar Year (Jan - Dec), 2013"
Lakshadweep,2013-14,,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013-14,119.6,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013-14,80.5,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,2013-14,86.5,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013-14,117.7,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,2013-14,45.9,2013,"Calendar Year (Jan - Dec), 2013"
Goa,2013-14,53.5,2013,"Calendar Year (Jan - Dec), 2013"
Daman & Diu,2013-14,26.2,2013,"Calendar Year (Jan - Dec), 2013"
Dadra & Nagar Haveli,2013-14,57.6,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013-14,206.9,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013-14,219.4,2013,"Calendar Year (Jan - Dec), 2013"
Sikkim,2013-14,,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013-14,138.4,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013-14,62.5,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013-14,153.7,2013,"Calendar Year (Jan - Dec), 2013"
Uttaranchal,2013-14,164.1,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013-14,51.3,2013,"Calendar Year (Jan - Dec), 2013"
Jammu and Kashmir,2013-14,,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,2013-14,33,2013,"Calendar Year (Jan - Dec), 2013"
Chandigarh,2013-14,,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013-14,169.9,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013-14,37.7,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013-14,57.1,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,2013-14,126.9,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013-14,88.8,2013,"Calendar Year (Jan - Dec), 2013"
Tripura,2013-14,50.7,2013,"Calendar Year (Jan - Dec), 2013"
Manipur,2013-14,31.8,2013,"Calendar Year (Jan - Dec), 2013"
Meghalaya,2013-14,47.3,2013,"Calendar Year (Jan - Dec), 2013"
Nagaland,2013-14,5.2,2013,"Calendar Year (Jan - Dec), 2013"
Arunachal Pradesh,2013-14,,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2014-15,237.2,2014,"Calendar Year (Jan - Dec), 2014"
Sikkim,2014-15,,2014,"Calendar Year (Jan - Dec), 2014"
Mizoram,2014-15,,2014,"Calendar Year (Jan - Dec), 2014"
