ROWID,Country,State lgd code,State,YearCode,Year,Consumption of chemical fertiliser
1,India,1,Jammu And Kashmir,1991,"Calendar Year (Jan - Dec), 1991",45.2
2,India,1,Jammu And Kashmir,1992,"Calendar Year (Jan - Dec), 1992",41.7
3,India,1,Jammu And Kashmir,1993,"Calendar Year (Jan - Dec), 1993",39.2
4,India,1,Jammu And Kashmir,1994,"Calendar Year (Jan - Dec), 1994",43.1
5,India,1,Jammu And Kashmir,1995,"Calendar Year (Jan - Dec), 1995",47.2
6,India,1,Jammu And Kashmir,1996,"Calendar Year (Jan - Dec), 1996",40.1
7,India,1,Jammu And Kashmir,1997,"Calendar Year (Jan - Dec), 1997",55.8
8,India,1,Jammu And Kashmir,1998,"Calendar Year (Jan - Dec), 1998",65.8
9,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",57.9
10,India,1,Jammu And Kashmir,2000,"Calendar Year (Jan - Dec), 2000",60.1
11,India,1,Jammu And Kashmir,2001,"Calendar Year (Jan - Dec), 2001",64.7
12,India,1,Jammu And Kashmir,2002,"Calendar Year (Jan - Dec), 2002",58.1
13,India,1,Jammu And Kashmir,2003,"Calendar Year (Jan - Dec), 2003",72
14,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",66.3
15,India,1,Jammu And Kashmir,2005,"Calendar Year (Jan - Dec), 2005",81.3
16,India,1,Jammu And Kashmir,2006,"Calendar Year (Jan - Dec), 2006",78.9
17,India,1,Jammu And Kashmir,2007,"Calendar Year (Jan - Dec), 2007",69
18,India,1,Jammu And Kashmir,2008,"Calendar Year (Jan - Dec), 2008",92.7
19,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",98.5
20,India,1,Jammu And Kashmir,2010,"Calendar Year (Jan - Dec), 2010",105.9
21,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",86.2
22,India,1,Jammu And Kashmir,2012,"Calendar Year (Jan - Dec), 2012",94.4
23,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",
24,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",
25,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",63.8
26,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",61.2
27,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",70.7
28,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",61.9
29,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",40.9
30,India,2,Himachal Pradesh,1991,"Calendar Year (Jan - Dec), 1991",34.7
31,India,2,Himachal Pradesh,1992,"Calendar Year (Jan - Dec), 1992",31.1
32,India,2,Himachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",29.2
33,India,2,Himachal Pradesh,1994,"Calendar Year (Jan - Dec), 1994",30
34,India,2,Himachal Pradesh,1995,"Calendar Year (Jan - Dec), 1995",30.4
35,India,2,Himachal Pradesh,1996,"Calendar Year (Jan - Dec), 1996",35.3
36,India,2,Himachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",35.9
37,India,2,Himachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",40.7
38,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",38.4
39,India,2,Himachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",36.7
