srcStateName,srcYear,Type of production of crops,Crop type,Crop Production,Area,Estimate of yield,YearCode,Year
Madhya Pradesh,2017-18,Foodgrains,Wheat,15910.8,5316,2121,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2012-13,Non Foodgrains,Raw Jute & Mesta,,,,2012,"Financial Year (Apr - Mar), 2012"
Punjab,2012-13,Non Foodgrains,Sugarcane,5919,83,71313,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2017-18,Foodgrains,Rice,4930.8,3761.1,1311,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2019-20,Non Foodgrains,Raw Jute & Mesta,,,,2019,"Financial Year (Apr - Mar), 2019"
Kerala,2012-13,Foodgrains,Rice,508.3,197.3,2577,2012,"Financial Year (Apr - Mar), 2012"
Assam,2014-15,Non Foodgrains,Raw Jute & Mesta,793.2,75,1904,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2016-17,Non Foodgrains,Sugarcane,0.4,0.1,3000,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2012-13,Non Foodgrains,Raw Jute & Mesta,,,,2012,"Financial Year (Apr - Mar), 2012"
Punjab,2017-18,Foodgrains,Coarse Cereals,453.2,122.7,3693,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2013-14,Foodgrains,Coarse Cereals,75.9,47.1,1611,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2011-12,Non Foodgrains,Cotton (Lintt),,,,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2015-16,Vegetables,Vegetables,26251,1379.1,,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2018-19,Non Foodgrains,Raw Jute & Mesta,1084.5,85.1,2293,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2019-20,Non Foodgrains,Sugarcane,39.2,1.8,21500,2019,"Financial Year (Apr - Mar), 2019"
Punjab,2018-19,Vegetables,Vegetables,5207.4,249.3,,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2019-20,Non Foodgrains,Cotton (Lintt),,,,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2015-16,Vegetables,Vegetables,6318.4,475.2,,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,2014-15,Fruits,Fruits,8300.6,384.4,,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2011-12,Foodgrains,Pulses,30.8,32.3,954,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2015-16,Non Foodgrains,Cotton (Lintt),9400,2722,587,2015,"Financial Year (Apr - Mar), 2015"
Punjab,2012-13,Foodgrains,Rice,11374,2845,3998,2012,"Financial Year (Apr - Mar), 2012"
Uttar Pradesh,2019-20,Vegetables,Vegetables,27195.2,1274.8,,2019,"Financial Year (Apr - Mar), 2019"
Meghalaya,2019-20,Fruits,Fruits,393.5,37.6,,2019,"Financial Year (Apr - Mar), 2019"
Jammu and Kashmir,2018-19,Non Foodgrains,Oilseeds,56.3,51.8,1086,2018,"Financial Year (Apr - Mar), 2018"
Tripura,2016-17,Foodgrains,Pulses,23.2,24.3,952,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2013-14,Foodgrains,Coarse Cereals,263.1,238.2,1105,2013,"Financial Year (Apr - Mar), 2013"
Arunachal Pradesh,2013-14,Non Foodgrains,Oilseeds,31.4,32.8,958,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2017-18,Foodgrains,Rice,6638.9,1828.9,3630,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2016-17,Foodgrains,Rice,1930,837,2306,2016,"Financial Year (Apr - Mar), 2016"
Mizoram,2018-19,Foodgrains,Coarse Cereals,11,6.2,1780,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2012-13,Vegetables,Vegetables,1059.6,88,,2012,"Financial Year (Apr - Mar), 2012"
Uttar Pradesh,2013-14,Non Foodgrains,Sugarcane,134688.6,2228,60453,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2011-12,Fruits,Fruits,3391.3,159.6,,2011,"Financial Year (Apr - Mar), 2011"
Maharashtra,2013-14,Foodgrains,Pulses,3169,3953,802,2013,"Financial Year (Apr - Mar), 2013"
West Bengal,2015-16,Vegetables,Vegetables,22825.5,1391.4,,2015,"Financial Year (Apr - Mar), 2015"
Delhi,2015-16,Foodgrains,Rice,17.3,6,2862,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2014-15,Non Foodgrains,Sugarcane,84699,1030,82232,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2014-15,Foodgrains,Rice,285,127.2,2241,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2011-12,Fruits,Fruits,6428.1,371,,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2019-20,Foodgrains,Wheat,,,,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,2015-16,Vegetables,Vegetables,7804.6,460.4,,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2012-13,Foodgrains,Pulses,2332,2367,985,2012,"Financial Year (Apr - Mar), 2012"
