ROWID,Country,State lgd code,State,YearCode,Year,Type of production of crops,Crop type,Crop production,Area,Estimate of yield
1,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",Foodgrains,Coarse Cereals,513.6837427172411,328.796621644274007,1562
2,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",Foodgrains,Pulses,36.587161162196665,69.4668233266240632,539
3,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",Foodgrains,Rice,536.7092628086502,275.3305834659172842,1949
4,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",Foodgrains,Wheat,300.5025503455086,241.963092485993928,1242
5,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",Non Foodgrains,Cotton (Lintt),0.0975657630991911,0.1951315261983822,85
6,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",Non Foodgrains,Oilseeds,44.782685262528716,74.5402430077820004,601
7,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",Non Foodgrains,Sugarcane,11.610325808803742,0.3902630523967644,29750
8,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",Foodgrains,Coarse Cereals,497.19512875347783,322.8451100952233499,1540
9,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",Foodgrains,Pulses,32.78209640132821,62.7347856727798773,529
10,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",Foodgrains,Rice,496.4146026486843,266.4520990238908941,1863
11,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",Foodgrains,Wheat,338.8458952434907,242.6460528276882657,1396
12,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",Non Foodgrains,Cotton (Lintt),0.1951315261983822,0.0975657630991911,340
13,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",Non Foodgrains,Oilseeds,46.53886899831416,77.8574789531544978,598
14,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",Non Foodgrains,Sugarcane,10.927365467109404,0.2926972892975733,37333
15,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",Foodgrains,Coarse Cereals,562.6617557930351,325.2842541727031274,1730
16,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",Foodgrains,Pulses,33.75775403232012,63.1250487251766417,561
17,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",Foodgrains,Rice,494.65841891289887,266.354533260791703,1857
18,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",Foodgrains,Wheat,343.52905187225184,242.0606582490931191,1419
19,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",Non Foodgrains,Cotton (Lintt),0.1951315261983822,0.0975657630991911,340
20,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",Non Foodgrains,Oilseeds,43.124067289842465,70.7351782469135475,610
21,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",Non Foodgrains,Sugarcane,10.927365467109404,0.2926972892975733,37333
22,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",Foodgrains,Coarse Cereals,474.4623059513663,322.942675858322541,1469
23,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",Foodgrains,Pulses,36.782292688395046,72.6864935088973695,520
24,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",Foodgrains,Rice,570.4670168409704,264.5007837619070721,2157
25,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",Foodgrains,Wheat,340.60207897927614,233.182173807066729,1461
26,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",Non Foodgrains,Cotton (Lintt),0.1951315261983822,0.0975657630991911,340
27,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",Non Foodgrains,Oilseeds,25.854927221285642,62.6372199096806862,419
28,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",Non Foodgrains,Sugarcane,7.2198664693401415,0.2926972892975733,24667
