srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,YearCode,NumberOfHouseholdsRural,Year,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Andaman & Nicobar Islands,1991-92,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1991,58530,"Financial Year (Apr - Mar), 1991",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,1992-93,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1992,58530,"Financial Year (Apr - Mar), 1992",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,1993-94,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1993,58530,"Financial Year (Apr - Mar), 1993",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,1994-95,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1994,58530,"Financial Year (Apr - Mar), 1994",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,1995-96,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1995,58530,"Financial Year (Apr - Mar), 1995",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,1996-97,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1996,58530,"Financial Year (Apr - Mar), 1996",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,1997-98,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1997,58530,"Financial Year (Apr - Mar), 1997",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,1998-99,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1998,58530,"Financial Year (Apr - Mar), 1998",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,1999-00,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,1999,58530,"Financial Year (Apr - Mar), 1999",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2000-01,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2000,58530,"Financial Year (Apr - Mar), 2000",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
