srcStateName,srcYear,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation,YearCode,Year
Jharkhand,2011-12,2556,6742579,1192981,1736979,7935560,8479558,135795,196793,516062,8285568,10305316,1678877,2019748,1496640,1837512,2161522,2011,"Financial Year (Apr - Mar), 2011"
Andaman & Nicobar Islands,2011-12,18,3906,-3301,1062,605,4967,362,438,499,15822,17966,1339,2144,-525,280,243,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2011-12,27708,25393903,5254250,7200316,30648153,32594218,1110866,1362788,1656600,31156242,39093376,6705275,7937133,1101479,2333338,3505910,2011,"Financial Year (Apr - Mar), 2011"
Assam,2011-12,3019,1515746,474331,670125,1990077,2185871,150065,180531,166621,4522147,5292766,654789,770620,266995,382826,477909,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2011-12,3231,754715,-23601,464947,731114,1219662,108963,126592,84982,5396426,6016746,564392,620320,109561,165489,253786,2011,"Financial Year (Apr - Mar), 2011"
Chandigarh,2011-12,308,119032,65020,62229,184052,181261,9777,14893,25693,671809,750210,69272,78401,6107,15236,13891,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2011-12,2472,5063239,3855561,1643619,8918800,6706859,138269,185985,393171,7749533,9301415,1260536,1551883,770169,1061516,1254105,2011,"Financial Year (Apr - Mar), 2011"
Dadra & Nagar Haveli,2011-12,1480,2106676,1072894,1211497,3179570,3318173,89668,113512,175076,7935859,8900765,777326,964906,209433,397013,608908,2011,"Financial Year (Apr - Mar), 2011"
Daman & Diu,2011-12,1950,729488,978215,657018,1707703,1386506,80384,103596,159062,3492186,4218140,651306,725955,69534,144182,180196,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2011-12,3849,887343,760810,809869,1648153,1697212,76890,116221,234006,3865985,4527272,612153,661288,113646,162781,322079,2011,"Financial Year (Apr - Mar), 2011"
