ROWID,Country,State lgd code,State,YearCode,Year,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation
1,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",234.75044641176804578400,7894.46188745574957301110,4649.03696581305634004730,8442.21292908320834650710,12543.49885326880591305840,16336.67481653895791951820,10773.08923658005523443740,13938.30775569872771842500,2357.28573271817079308100,50465.47721736983564241540,58583.93015577681389244540,6908.51001252632378071830,8118.45293840697825003000,590.78862346961624855640,1800.73154935027071786810,2412.06083688091667043060
2,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",259.20361791299388388650,8868.67624006458696301470,5307.31634262605590176660,9275.57701384498490904030,14175.99258269064286478130,18144.25325390957187205500,11219.11508476241452142700,14482.14628988599035782460,2909.92740864587473419750,53431.15785703850528748660,63739.63683509526959797650,8909.75756818664637102690,10308.47897805676431048990,753.15768223775581355700,2151.87909210787375302000,3336.39071962725335070510
3,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",259.20361791299388388650,8715.11032303688869973100,5788.55475777018039562380,11190.74940582099254922810,14503.66508080706909535480,19905.85972885788124895910,11425.49985223276059501210,14835.25008636369146002470,3188.69356375984928856600,54948.23261697455628336570,75134.81475466651015374150,18831.87643652404243949730,20186.58213769195387037580,385.38198285931920849540,1740.08768402723063937390,3446.91905481279413892840
4,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",277.78802825392552084440,11501.79374731658520989190,8306.25329553639268665720,13589.11646666122275032130,19808.04704285297789654910,25090.91021397780796021320,14897.85020540682960556710,19321.91799340860823507140,4985.51260566992387233770,59689.21350763222177467840,70990.49124863875511212980,9797.89675711116881090970,11300.29961414648430392730,1500.44660331521742596940,3002.84946035053291898700,3098.70589263533820434880
5,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",332.56313241667139819400,16305.37475701738884674700,11328.66529308790627612620,20995.49305095250459480650,27634.04005010529512287320,37300.86780796989344155350,18112.95319438800279928380,23559.16355114102146147260,7307.58577142632945855110,85219.30268177204578721250,102249.46944208576847531760,15027.94107779335106427240,17030.16676031372268810510,1777.25650470909391328970,3779.48218722946553712240,4911.17496430619732450610
6,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",387.33823657941727554360,18077.74062742623759241620,8177.14055000992026147600,17830.27453183383211081890,26314.54691589914889886230,33727.77038821077397801620,16560.66586749018659653710,21720.28505424883843616460,6849.82240092338176927230,76143.26354737706371708860,90159.82145187971411744160,18706.67619843776614841250,14538.87764776883430222240,2722.12705151646029757030,5036.37520239247361559090,5609.55754238120726071350
7,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",406.90077378039794602560,132560.64270814526835365250,10590.17951375088596543070,18362.37554370050634792930,143150.82222189615431908320,150923.01825184577470158180,21273.28107920643011565090,42178.78645903442362624020,15927.81778903846190644440,98347.72139735017374768270,121702.45643474094720261840,20208.10092861303260790600,23354.73503739077345493570,1270.58679120369454780590,4418.19902684148442835970,6204.25867329101964336630
8,India,1,Jammu And Kashmir,1998,"Financial Year (Apr - Mar), 1998",343.32252787721076695910,23999.32063816308654731760,11380.50601667050505290350,22634.83366839468478119810,35379.82665483359160022110,46634.15430655777132851570,18673.41988519609900859310,24212.55229365377585557140,11495.92498615629100874730,120822.14226069681703092840,138633.83238218971750478940,14887.09080994629023680200,17811.69012149290047386100,729.68263759657900897860,3655.26007600323827956170,-886.18293520442437283460
9,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",384.40385599927017497130,28665.96388745702549079870,26783.06968186263595690620,28558.36993285163180314770,55449.03356931966144770490,57224.33382030865729394640,19745.44692380983975100670,25735.49581475012105259510,11204.44318186167901856550,136506.40646158306958987190,160984.03113431013353047440,20795.95517150250175589010,24477.62467272706394060250,2475.63908278410384949710,6157.30858400866603420950,9043.76094801336396382860
10,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",348.21316217745593457960,33119.37548126027512602600,17152.43261781985187861760,22030.35126888438206330430,50271.80809908012700464360,55149.72675014465718933030,17969.16854596079487124110,22709.17130975841132902970,10346.62592559867661792980,111789.14070814399243586490,131335.04975250382934795520,15598.18903720193760882270,19546.88717121988594561440,4531.66174260717231715530,8478.40362290502258689880,9042.78282115331493030450
11,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",340.38814729706366638680,35604.79583264486931076410,18951.20791345002452943750,25153.51033302094610575560,54556.00374609489384020160,60758.30616566581541651970,18743.84501911962942232830,23937.69864597999743529930,11272.91206206511136525250,130520.27007808298442237990,151491.30995753426317908390,15881.84582661615733081170,20971.03987945127875670400,-249.42234931250354864550,4839.77170352261787724680,3994.67009644025291242440
