srcStateName,srcYear,Birth rate,Death rate,YearCode,Year
Uttar Pradesh,2011,27.8,7.9,2011,"Calendar Year (Jan - Dec), 2011"
Andaman & Nicobar Islands,2011,15.1,4.6,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011,17.5,7.5,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011,19.8,5.8,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011,22.8,8,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011,27.7,6.7,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011,15,4.1,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011,24.9,7.9,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011,26.1,4.6,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011,18.4,4.9,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011,17.5,4.3,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011,13.3,6.7,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011,21.3,6.7,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011,21.8,6.5,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011,16.5,6.7,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011,17.8,5.5,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011,25,6.9,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011,16.3,6.2,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011,18.8,7.1,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011,15.2,7,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011,14.7,6.4,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011,26.9,8.2,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011,16.7,6.3,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011,14.4,4.1,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011,24.1,7.8,2011,"Calendar Year (Jan - Dec), 2011"
