srcStateName,Zone,srcYear,Storage capacity,YearCode,Year
Bihar,East Zone,2013,11.21,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,North Zone,2013,102.63,2013,"Calendar Year (Jan - Dec), 2013"
Uttarakhand,North Zone,2013,2.73,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,South Zone,2013,91.3,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,South Zone,2013,9.06,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,South Zone,2013,24.16,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,South Zone,2013,23.36,2013,"Calendar Year (Jan - Dec), 2013"
Puducherry,South Zone,2013,0.84,2013,"Calendar Year (Jan - Dec), 2013"
A&N Islands,South Zone,2013,0.1,2013,"Calendar Year (Jan - Dec), 2013"
Lakshadweep,South Zone,2013,0,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,West Zone,2013,17.21,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,West Zone,2013,50.66,2013,"Calendar Year (Jan - Dec), 2013"
Goa,West Zone,2013,0.5,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,West Zone,2013,59.2,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,West Zone,2013,23.66,2013,"Calendar Year (Jan - Dec), 2013"
Daman & Diu,West Zone,2013,0,2013,"Calendar Year (Jan - Dec), 2013"
D&N Haveli,West Zone,2013,0,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,East Zone,2014,11.5,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,East Zone,2014,14.09,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,East Zone,2014,19.64,2014,"Calendar Year (Jan - Dec), 2014"
Sikkim,East Zone,2014,0.11,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,East Zone,2014,2.11,2014,"Calendar Year (Jan - Dec), 2014"
Assam,North-East Zone,2014,6.25,2014,"Calendar Year (Jan - Dec), 2014"
Arunanchal Pradesh,North-East Zone,2014,0.23,2014,"Calendar Year (Jan - Dec), 2014"
Tripura,North-East Zone,2014,0.83,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,North-East Zone,2014,0.31,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,North-East Zone,2014,0.46,2014,"Calendar Year (Jan - Dec), 2014"
Mizoram,North-East Zone,2014,0.26,2014,"Calendar Year (Jan - Dec), 2014"
Meghalaya,North-East Zone,2014,0.42,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,North Zone,2014,5.14,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,North Zone,2014,64.78,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,North Zone,2014,0.45,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,North Zone,2014,1.75,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,North Zone,2014,182.66,2014,"Calendar Year (Jan - Dec), 2014"
Chandigarh,North Zone,2014,4.09,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,North Zone,2014,39.88,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,North Zone,2014,91.59,2014,"Calendar Year (Jan - Dec), 2014"
Uttarakhand,North Zone,2014,2.84,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,South Zone,2014,68.47,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,South Zone,2014,9,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,South Zone,2014,25.02,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,South Zone,2014,24.41,2014,"Calendar Year (Jan - Dec), 2014"
Puducherry,South Zone,2014,0.84,2014,"Calendar Year (Jan - Dec), 2014"
A&N Islands,South Zone,2014,0.1,2014,"Calendar Year (Jan - Dec), 2014"
Lakshadweep,South Zone,2014,0,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,West Zone,2014,18.33,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,West Zone,2014,53.43,2014,"Calendar Year (Jan - Dec), 2014"
Goa,West Zone,2014,0.5,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,West Zone,2014,68.63,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,West Zone,2014,23.7,2014,"Calendar Year (Jan - Dec), 2014"
Daman & Diu,West Zone,2014,0,2014,"Calendar Year (Jan - Dec), 2014"
D&N Haveli,West Zone,2014,0,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,East Zone,2015,10.48,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,East Zone,2015,13.68,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,East Zone,2015,14.68,2015,"Calendar Year (Jan - Dec), 2015"
Sikkim,East Zone,2015,0,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,East Zone,2015,2.24,2015,"Calendar Year (Jan - Dec), 2015"
Assam,North-East Zone,2015,5.68,2015,"Calendar Year (Jan - Dec), 2015"
Arunanchal Pradesh,North-East Zone,2015,0.33,2015,"Calendar Year (Jan - Dec), 2015"
Tripura,North-East Zone,2015,0.6,2015,"Calendar Year (Jan - Dec), 2015"
Manipur,North-East Zone,2015,0.32,2015,"Calendar Year (Jan - Dec), 2015"
Nagaland,North-East Zone,2015,0.4,2015,"Calendar Year (Jan - Dec), 2015"
Mizoram,North-East Zone,2015,0.67,2015,"Calendar Year (Jan - Dec), 2015"
Meghalaya,North-East Zone,2015,0.28,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,North Zone,2015,3.67,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,North Zone,2015,106.14,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,North Zone,2015,0.48,2015,"Calendar Year (Jan - Dec), 2015"
Jammu & Kashmir,North Zone,2015,2.28,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,North Zone,2015,238.54,2015,"Calendar Year (Jan - Dec), 2015"
Chandigarh,North Zone,2015,0,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,North Zone,2015,25.62,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,North Zone,2015,58.39,2015,"Calendar Year (Jan - Dec), 2015"
Uttarakhand,North Zone,2015,3.67,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,South Zone,2015,27.36,2015,"Calendar Year (Jan - Dec), 2015"
Telangana,South Zone,2015,17.96,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,South Zone,2015,5.89,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,South Zone,2015,29.28,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,South Zone,2015,17.32,2015,"Calendar Year (Jan - Dec), 2015"
Puducherry,South Zone,2015,0,2015,"Calendar Year (Jan - Dec), 2015"
A&N Islands,South Zone,2015,0,2015,"Calendar Year (Jan - Dec), 2015"
Lakshadweep,South Zone,2015,0,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,West Zone,2015,10.11,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,West Zone,2015,29.91,2015,"Calendar Year (Jan - Dec), 2015"
Goa,West Zone,2015,0.2,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,West Zone,2015,59.17,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,West Zone,2015,23.87,2015,"Calendar Year (Jan - Dec), 2015"
Daman & Diu,West Zone,2015,0,2015,"Calendar Year (Jan - Dec), 2015"
D&N Haveli,West Zone,2015,0,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,East Zone,2016,15.1,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,East Zone,2016,11.63,2016,"Calendar Year (Jan - Dec), 2016"
West Bengal,East Zone,2016,16.72,2016,"Calendar Year (Jan - Dec), 2016"
Sikkim,East Zone,2016,0,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,East Zone,2016,2.53,2016,"Calendar Year (Jan - Dec), 2016"
Assam,North-East Zone,2016,6.29,2016,"Calendar Year (Jan - Dec), 2016"
Arunanchal Pradesh,North-East Zone,2016,0.23,2016,"Calendar Year (Jan - Dec), 2016"
Tripura,North-East Zone,2016,0.83,2016,"Calendar Year (Jan - Dec), 2016"
Manipur,North-East Zone,2016,0.32,2016,"Calendar Year (Jan - Dec), 2016"
Nagaland,North-East Zone,2016,0.45,2016,"Calendar Year (Jan - Dec), 2016"
Mizoram,North-East Zone,2016,0.67,2016,"Calendar Year (Jan - Dec), 2016"
Meghalaya,North-East Zone,2016,0.23,2016,"Calendar Year (Jan - Dec), 2016"
Delhi,North Zone,2016,3.67,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,East Zone,2013,15.33,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,East Zone,2013,19.68,2013,"Calendar Year (Jan - Dec), 2013"
Sikkim,East Zone,2013,0.11,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,East Zone,2013,1.69,2013,"Calendar Year (Jan - Dec), 2013"
Assam,North-East Zone,2013,6.07,2013,"Calendar Year (Jan - Dec), 2013"
Arunanchal Pradesh,North-East Zone,2013,0.23,2013,"Calendar Year (Jan - Dec), 2013"
Tripura,North-East Zone,2013,0.76,2013,"Calendar Year (Jan - Dec), 2013"
Manipur,North-East Zone,2013,0.3,2013,"Calendar Year (Jan - Dec), 2013"
