ROWID,Country,State lgd code,State,YearCode,Year,Zone,Storage capacity
1,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",North Zone,1.37567904444188454
2,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",North Zone,1.70740306934276450
3,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",North Zone,2.22450228462943032
4,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",North Zone,2.42939065295056206
5,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",North Zone,2.52695654262729146
6,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",North Zone,2.72208832198075026
7,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",North Zone,2.40012088604754324
8,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",North Zone,2.5367131315949644
9,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",North Zone,0.45
10,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",North Zone,0.45
11,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",North Zone,0.48
12,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",North Zone,0.49
13,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",North Zone,0.33
14,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",North Zone,0.51
15,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",North Zone,0.53
16,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",North Zone,0.72
17,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",North Zone,168.1
18,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",North Zone,182.66
19,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",North Zone,238.54
20,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",North Zone,252.56
21,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",North Zone,249.67
22,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",North Zone,201.43
23,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",North Zone,234.3
24,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",North Zone,234.27
25,India,4,Chandigarh,2013,"Calendar Year (Jan - Dec), 2013",North Zone,3.7
26,India,4,Chandigarh,2014,"Calendar Year (Jan - Dec), 2014",North Zone,4.09
27,India,4,Chandigarh,2015,"Calendar Year (Jan - Dec), 2015",North Zone,0
28,India,4,Chandigarh,2016,"Calendar Year (Jan - Dec), 2016",North Zone,0
29,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",North Zone,0
30,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",North Zone,0
31,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",North Zone,0
32,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",North Zone,0.06
33,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",North Zone,2.73
34,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",North Zone,2.84
35,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",North Zone,3.67
36,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",North Zone,3.8
37,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",North Zone,3.7
38,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",North Zone,3.93
39,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",North Zone,2.94
40,India,5,Uttarakhand,2020,"Calendar Year (Jan - Dec), 2020",North Zone,2.47
41,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",North Zone,57.66
42,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",North Zone,64.78
43,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",North Zone,106.14
44,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",North Zone,116.11
45,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",North Zone,100.99
46,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",North Zone,99.17
47,India,6,Haryana,2019,"Calendar Year (Jan - Dec), 2019",North Zone,112.2
48,India,6,Haryana,2020,"Calendar Year (Jan - Dec), 2020",North Zone,131.44
49,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",North Zone,5.16
50,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",North Zone,5.14
51,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",North Zone,3.67
52,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",North Zone,3.67
53,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",North Zone,3.67
54,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",North Zone,3.67
55,India,7,Delhi,2019,"Calendar Year (Jan - Dec), 2019",North Zone,3.67
56,India,7,Delhi,2020,"Calendar Year (Jan - Dec), 2020",North Zone,3.67
57,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",North Zone,38.78
58,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",North Zone,39.88
59,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",North Zone,25.62
60,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",North Zone,23.24
