srcStateName,srcYear,Meat production,Milk production,Egg production,Fish production,Wool production,YearCode,Year
Delhi,2019-20,,,0,0.01,,2019,"Calendar Year (Jan - Dec), 2019"
Andaman and Nicobar Islands,2011-12,,26,780,0.35,,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011-12,824,12088,212103,16.03,4924,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011-12,19,22,53,0.03,17,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011-12,34,796,4705,2.29,,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011-12,228,6643,7552,3.44,266,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011-12,1,45,181,0,,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011-12,30,1119,12984,2.51,104,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011-12,,11,73,0,,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011-12,,1,20,0.17,,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011-12,45,502,1,0.01,,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011-12,10,60,149,0.9,,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011-12,35,9817,14269,7.84,2819,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011-12,337,6661,41142,1.06,1333,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011-12,4,1120,1050,0.08,1648,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011-12,32,1614,6520,0.2,7530,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011-12,46,1745,4313,0.92,202,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011-12,140,5447,34699,5.46,7779,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011-12,426,2716,17049,6.93,,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011-12,,2,140,0.12,,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011-12,39,8149,7972,0.75,413,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011-12,585,8469,43861,5.79,1469,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011-12,24,79,1149,0.22,,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011-12,38,80,1021,0.05,,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011-12,13,14,349,0.03,,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011-12,78,78,704,0.07,,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011-12,138,1721,23007,3.82,,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011-12,14,45,116,0.42,,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011-12,181,9551,36030,0.98,532,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011-12,122,13512,9605,0.48,13192,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011-12,3,45,146,0,1,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011-12,460,6968,118518,6.11,1,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011-12,25,111,1650,0.53,,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011-12,956,22556,16075,4.3,1420,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011-12,16,1417,2712,0.04,371,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011-12,611,4672,43433,14.72,713,2011,"Calendar Year (Jan - Dec), 2011"
Andaman and Nicobar Islands,2012-13,,21,741,0.37,,2012,"Calendar Year (Jan - Dec), 2012"
Andhra Pradesh,2012-13,906,12762,222974,18.08,5031,2012,"Calendar Year (Jan - Dec), 2012"
Arunachal Pradesh,2012-13,18,23,439,0.04,18,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012-13,37,800,4710,2.54,,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012-13,228,6845,8372,4,267,2012,"Calendar Year (Jan - Dec), 2012"
Chandigarh,2012-13,1,44,170,0,,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012-13,34,1164,13704,2.56,107,2012,"Calendar Year (Jan - Dec), 2012"
Dadra & Nagar Haveli,2012-13,,11,73,0,,2012,"Calendar Year (Jan - Dec), 2012"
Daman & Diu,2012-13,,1,20,0.19,,2012,"Calendar Year (Jan - Dec), 2012"
Delhi,2012-13,81,287,,0.01,,2012,"Calendar Year (Jan - Dec), 2012"
Goa,2012-13,8,61,458,0.78,,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012-13,35,10315,14558,7.88,2664,2012,"Calendar Year (Jan - Dec), 2012"
Haryana,2012-13,348,7040,42343,1.11,1370,2012,"Calendar Year (Jan - Dec), 2012"
Himachal Pradesh,2012-13,4,1139,1069,0.09,1649,2012,"Calendar Year (Jan - Dec), 2012"
Jammu and Kashmir,2012-13,34,1631,6715,9.66,7681,2012,"Calendar Year (Jan - Dec), 2012"
Jharkhand,2012-13,45,1679,4239,0.97,159,2012,"Calendar Year (Jan - Dec), 2012"
Karnataka,2012-13,166,5718,36773,5.26,8020,2012,"Calendar Year (Jan - Dec), 2012"
Kerala,2012-13,401,2791,22375,6.8,,2012,"Calendar Year (Jan - Dec), 2012"
Lakshadweep,2012-13,,2,140,0.12,,2012,"Calendar Year (Jan - Dec), 2012"
