ROWID,Country,State lgd code,State,YearCode,Year,Meat production,Milk production,Egg production,Fish production,Wool production
1,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",31.30013263375684597984,1578.70043971511091910818,6377.40202412795736839240,0.195625828960980287374,7365.31246038090781963110
2,India,1,Jammu And Kashmir,2012,"Calendar Year (Jan - Dec), 2012",33.25639092336664885358,1595.32863517679424353497,6568.13720736491314858205,9.4487275388153478801642,7513.00996124644793659847
3,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",32.27826177856174741671,1579.67856885991582054505,6503.58068380778965374863,0.195625828960980287374,8519.50485125069151513770
4,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",44.01581151622056465915,1908.32996151436270333337,4849.56429994270132400146,0.195625828960980287374,8187.91907116182992803877
5,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",73.35968586036760776525,2223.28754614154096600551,2258.50019535451741773283,0.195625828960980287374,6715.83470823045326554942
6,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",83.14097730841662213395,2324.03484805644581400312,2254.58767877529781198535,0.195625828960980287374,7107.08636615241384029742
7,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",85.09723559802642500769,2406.19769622005753470020,2282.95342397463995365458,0.2054071204090293017427,7325.20916544390686071943
8,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",89.98788132205093219204,2484.44802780444964964980,2297.62536114671347520763,0.2151884118570783161114,7462.14724571659306188123
9,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",92.92226875646563650265,2451.19163688108300079622,2167.53418488766158410392,0.2054071204090293017427,7313.47161570624804347699
10,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",4,1120,1050,0.08,1648
11,India,2,Himachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",4,1139,1069,0.09,1649
12,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",4,1151,1075,0.1,1655
13,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",4,1172,1084,0.11,1663
14,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",4,1283,812,0.12,1409
15,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",4,1329,959,0.13,1475
16,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",4,1392,981,0.13,1482
17,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",5,1460,1007,0.13,1503
18,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",5,1531,1066,0.14,1516
19,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",181,9551,36030,0.98,532
20,India,3,Punjab,2012,"Calendar Year (Jan - Dec), 2012",212,9724,37911,0.99,558
21,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",235,10011,43376,1.04,558
22,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",237,10351,42642,1.15,461
23,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",250,10774,44218,1.2,473
24,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",249,11282,47826,1.33,490
25,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",276,11855,52250,1.37,515
26,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",231,12599,55909,1.36,525
27,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",248,13348,56388,1.51,525
28,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",1,45,181,0,
29,India,4,Chandigarh,2012,"Calendar Year (Jan - Dec), 2012",1,44,170,0,
30,India,4,Chandigarh,2013,"Calendar Year (Jan - Dec), 2013",1,44,173,0,
31,India,4,Chandigarh,2014,"Calendar Year (Jan - Dec), 2014",1,44,169,0,
32,India,4,Chandigarh,2015,"Calendar Year (Jan - Dec), 2015",1,43,167,0,
33,India,4,Chandigarh,2016,"Calendar Year (Jan - Dec), 2016",1,36,154,0,
34,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",1,42,160,0,0
35,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",1,45,164,0,
36,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",1,49,125,0.01,
37,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",16,1417,2712,0.04,371
38,India,5,Uttarakhand,2012,"Calendar Year (Jan - Dec), 2012",22,1478,3079,0.04,400
39,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",24,1550,3370,0.04,440
40,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",26,1565,3697,0.04,469
41,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",271,1656,3907,0.04,513
42,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",28,1692,4119,6.18,538
43,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",29,1742,4298,6.29,564
44,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",29,1792,4532,6.62,552
45,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",25,1845,4786,0.05,497
46,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",337,6661,41142,1.06,1333
47,India,6,Haryana,2012,"Calendar Year (Jan - Dec), 2012",348,7040,42343,1.11,1370
48,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",367,7442,43591,1.06,1390
49,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",381,7901,45790,1.11,1429
50,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",403,8381,49133,1.21,702
51,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",427,8975,52139,1.44,691
52,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",470,9809,55855,1.9,693
53,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",512,10726,60577,2.18,719
54,India,6,Haryana,2019,"Calendar Year (Jan - Dec), 2019",554,11735,66153,1.91,730
55,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",45,502,1,0.01,
56,India,7,Delhi,2012,"Calendar Year (Jan - Dec), 2012",81,287,,0.01,
57,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",77,284,,0.01,
58,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",70,280,,0.01,
59,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",70,281,0,0.01,
60,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",66,279,0,0.01,
61,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",66,279,0,0.01,
62,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",,,0,0.01,
63,India,7,Delhi,2019,"Calendar Year (Jan - Dec), 2019",,,0,0.01,
64,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",122,13512,9605,0.48,13192
65,India,8,Rajasthan,2012,"Calendar Year (Jan - Dec), 2012",152,13946,10335,0.55,14007
66,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",175,14573,11903,0.35,15027
67,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",181,16934,13202,0.45,14463
68,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",180,18500,13853,0.42,13415
69,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",180,20850,13633,0.5,14321
70,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",188,22427,14548,0.54,14287
71,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",192,23668,16616,0.56,14522
72,India,8,Rajasthan,2019,"Calendar Year (Jan - Dec), 2019",200,25573,26962,1.16,12717
73,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",956,22556,16075,4.3,1420
74,India,9,Uttar Pradesh,2012,"Calendar Year (Jan - Dec), 2012",1137,23330,17074,4.5,1456
75,India,9,Uttar Pradesh,2013,"Calendar Year (Jan - Dec), 2013",1221,24194,18122,4.64,1473
76,India,9,Uttar Pradesh,2014,"Calendar Year (Jan - Dec), 2014",1397,25198,20776,4.94,1494
77,India,9,Uttar Pradesh,2015,"Calendar Year (Jan - Dec), 2015",1418,26387,21929,5.05,1265
78,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",1346,27770,22889,0.04,1286
79,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",1151,29052,24398,0.05,1300
