srcStateName,Zone,srcYear,Storage capacity,Stocks held,Utilization of storage capacity (%),YearCode,Year
Karnataka,South Zone,2020,10.06,8.03,80,2020,"Calendar Year (Jan - Dec), 2020"
Kerala,South Zone,2020,5.63,4.65,83,2020,"Calendar Year (Jan - Dec), 2020"
Telangana,South Zone,2020,21.53,19.88,92,2020,"Calendar Year (Jan - Dec), 2020"
A&N Islands,South Zone,2020,0.07,0.04,57,2020,"Calendar Year (Jan - Dec), 2020"
Andhra Pradesh,South Zone,2020,14.6,9.14,63,2020,"Calendar Year (Jan - Dec), 2020"
Uttarakhand,North Zone,2020,1.92,1.68,88,2020,"Calendar Year (Jan - Dec), 2020"
Uttar Pradesh,North Zone,2020,54.17,35.22,65,2020,"Calendar Year (Jan - Dec), 2020"
Rajasthan,North Zone,2020,19.26,10.71,56,2020,"Calendar Year (Jan - Dec), 2020"
Chandigarh,North Zone,2020,0.06,0.05,83,2020,"Calendar Year (Jan - Dec), 2020"
Punjab,North Zone,2020,119.11,123.48,104,2020,"Calendar Year (Jan - Dec), 2020"
Jammu & Kashmir,North Zone,2020,2.6,2.2,85,2020,"Calendar Year (Jan - Dec), 2020"
Himachal Pradesh,North Zone,2020,0.72,0.75,104,2020,"Calendar Year (Jan - Dec), 2020"
Haryana,North Zone,2020,61.93,55.85,90,2020,"Calendar Year (Jan - Dec), 2020"
Delhi,North Zone,2020,3.67,2.84,77,2020,"Calendar Year (Jan - Dec), 2020"
Nagaland,North East Zone,2020,0.46,0.45,98,2020,"Calendar Year (Jan - Dec), 2020"
Manipur,North East Zone,2020,0.49,0.33,67,2020,"Calendar Year (Jan - Dec), 2020"
Tripura,North East Zone,2020,0.44,0.3,68,2020,"Calendar Year (Jan - Dec), 2020"
Mizoram,North East Zone,2020,0.25,0.14,56,2020,"Calendar Year (Jan - Dec), 2020"
Meghalaya,North East Zone,2020,0.22,0.21,95,2020,"Calendar Year (Jan - Dec), 2020"
Arunanchal Pradesh,North East Zone,2020,0.33,0.24,73,2020,"Calendar Year (Jan - Dec), 2020"
Assam,North East Zone,2020,4.18,3.66,88,2020,"Calendar Year (Jan - Dec), 2020"
Sikkim,East Zone,2020,0.11,0.08,73,2020,"Calendar Year (Jan - Dec), 2020"
West Bengal,East Zone,2020,9.97,7.62,76,2020,"Calendar Year (Jan - Dec), 2020"
Odisha,East Zone,2020,5.67,5.16,91,2020,"Calendar Year (Jan - Dec), 2020"
Jharkhand,East Zone,2020,3.9,3.63,93,2020,"Calendar Year (Jan - Dec), 2020"
Bihar,East Zone,2020,11.08,8.79,79,2020,"Calendar Year (Jan - Dec), 2020"
Kerala,South Zone,2021,5.63,4.53,80,2021,"Calendar Year (Jan - Dec), 2021"
Telangana,South Zone,2021,16.56,15.11,91,2021,"Calendar Year (Jan - Dec), 2021"
A&N Islands,South Zone,2021,0.07,0.06,86,2021,"Calendar Year (Jan - Dec), 2021"
Andhra Pradesh,South Zone,2021,13.68,10.04,73,2021,"Calendar Year (Jan - Dec), 2021"
Uttarakhand,North Zone,2021,1.85,1.55,84,2021,"Calendar Year (Jan - Dec), 2021"
Uttar Pradesh,North Zone,2021,54.49,36.46,67,2021,"Calendar Year (Jan - Dec), 2021"
Rajasthan,North Zone,2021,20.35,11.43,56,2021,"Calendar Year (Jan - Dec), 2021"
Chandigarh,North Zone,2021,0.06,0.04,67,2021,"Calendar Year (Jan - Dec), 2021"
Punjab,North Zone,2021,124.38,118.32,95,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,North Zone,2021,2.75,2.22,81,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,North Zone,2021,0.78,0.81,104,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,North Zone,2021,63.79,48.99,77,2021,"Calendar Year (Jan - Dec), 2021"
Delhi,North Zone,2021,2.85,2.39,84,2021,"Calendar Year (Jan - Dec), 2021"
Nagaland,North East Zone,2021,0.46,0.4,87,2021,"Calendar Year (Jan - Dec), 2021"
Manipur,North East Zone,2021,0.52,0.43,83,2021,"Calendar Year (Jan - Dec), 2021"
Tripura,North East Zone,2021,0.44,0.34,77,2021,"Calendar Year (Jan - Dec), 2021"
Mizoram,North East Zone,2021,0.25,0.18,72,2021,"Calendar Year (Jan - Dec), 2021"
Meghalaya,North East Zone,2021,0.22,0.18,82,2021,"Calendar Year (Jan - Dec), 2021"
Arunanchal Pradesh,North East Zone,2021,0.33,0.22,67,2021,"Calendar Year (Jan - Dec), 2021"
Assam,North East Zone,2021,4.2,3.19,75,2021,"Calendar Year (Jan - Dec), 2021"
Chhattisgarh,West Zone,2020,9.15,8.88,97,2020,"Calendar Year (Jan - Dec), 2020"
Madhya Pradesh,West Zone,2020,8.25,4.28,52,2020,"Calendar Year (Jan - Dec), 2020"
Goa,West Zone,2020,0.2,0.2,100,2020,"Calendar Year (Jan - Dec), 2020"
Maharashtra,West Zone,2020,20.38,18.35,90,2020,"Calendar Year (Jan - Dec), 2020"
Gujarat,West Zone,2020,6.62,6.57,99,2020,"Calendar Year (Jan - Dec), 2020"
Puducherry,South Zone,2020,1.34,1.19,89,2020,"Calendar Year (Jan - Dec), 2020"
Tamil Nadu,South Zone,2020,13.67,12.27,90,2020,"Calendar Year (Jan - Dec), 2020"
Chhattisgarh,West Zone,2021,9.79,8.1,83,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,West Zone,2021,8.31,5.69,68,2021,"Calendar Year (Jan - Dec), 2021"
Goa,West Zone,2021,0.2,0.18,90,2021,"Calendar Year (Jan - Dec), 2021"
Maharashtra,West Zone,2021,20.07,16.69,83,2021,"Calendar Year (Jan - Dec), 2021"
Gujarat,West Zone,2021,6.65,6.65,100,2021,"Calendar Year (Jan - Dec), 2021"
Puducherry,South Zone,2021,0.5,0.33,66,2021,"Calendar Year (Jan - Dec), 2021"
Tamil Nadu,South Zone,2021,14.32,12.86,90,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,South Zone,2021,9.76,7.76,80,2021,"Calendar Year (Jan - Dec), 2021"
Sikkim,East Zone,2021,0.11,0.1,91,2021,"Calendar Year (Jan - Dec), 2021"
West Bengal,East Zone,2021,10.03,6.62,66,2021,"Calendar Year (Jan - Dec), 2021"
Odisha,East Zone,2021,5.85,5.27,90,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,East Zone,2021,4.06,3.48,85,2021,"Calendar Year (Jan - Dec), 2021"
Bihar,East Zone,2021,11.36,9.05,80,2021,"Calendar Year (Jan - Dec), 2021"
Chhattisgarh,West Zone,2019,6.95,5.27,76,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,West Zone,2019,8.08,3.18,39,2019,"Calendar Year (Jan - Dec), 2019"
Goa,West Zone,2019,0.2,0.19,95,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,West Zone,2019,19.89,17.63,89,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,West Zone,2019,6.39,5.74,90,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,South Zone,2019,1.32,1.06,86,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,South Zone,2019,12.33,10.6,86,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,South Zone,2019,9.44,7.38,78,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,South Zone,2019,5.62,4.2,75,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,South Zone,2019,13.27,11.39,86,2019,"Calendar Year (Jan - Dec), 2019"
A&N Islands,South Zone,2019,0.07,0.05,71,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,South Zone,2019,13.74,10.84,79,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,North Zone,2019,1.85,1.41,76,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,North Zone,2019,54.86,32.58,59,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,North Zone,2019,18.47,9.83,53,2019,"Calendar Year (Jan - Dec), 2019"
Chandigarh,North Zone,2019,0.06,0.04,67,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,North Zone,2019,116.05,113.42,98,2019,"Calendar Year (Jan - Dec), 2019"
Jammu & Kashmir,North Zone,2019,2.46,1.45,59,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,North Zone,2019,0.53,0.47,89,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,North Zone,2019,57.65,40.81,71,2019,"Calendar Year (Jan - Dec), 2019"
Delhi,North Zone,2019,3.67,2.64,72,2019,"Calendar Year (Jan - Dec), 2019"
