ROWID,Country,State lgd code,State,YearCode,Year,Zone,Storage capacity,Stocks held,Utilization of storage capacity (%)
1,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",North Zone,2.40012088604754324,1.41470540031257630,59
2,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",North Zone,2.5367131315949644,2.1464495728880468,85
3,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",North Zone,2.68306196611005850,2.16596275082339268,81
4,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",North Zone,0.53,0.47,89
5,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",North Zone,0.72,0.75,104
6,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",North Zone,0.78,0.81,104
7,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",North Zone,116.05,113.42,98
8,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",North Zone,119.11,123.48,104
9,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",North Zone,124.38,118.32,95
10,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",North Zone,0.06,0.04,67
11,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",North Zone,0.06,0.05,83
12,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",North Zone,0.06,0.04,67
13,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",North Zone,1.85,1.41,76
14,India,5,Uttarakhand,2020,"Calendar Year (Jan - Dec), 2020",North Zone,1.92,1.68,88
15,India,5,Uttarakhand,2021,"Calendar Year (Jan - Dec), 2021",North Zone,1.85,1.55,84
16,India,6,Haryana,2019,"Calendar Year (Jan - Dec), 2019",North Zone,57.65,40.81,71
17,India,6,Haryana,2020,"Calendar Year (Jan - Dec), 2020",North Zone,61.93,55.85,90
18,India,6,Haryana,2021,"Calendar Year (Jan - Dec), 2021",North Zone,63.79,48.99,77
19,India,7,Delhi,2019,"Calendar Year (Jan - Dec), 2019",North Zone,3.67,2.64,72
20,India,7,Delhi,2020,"Calendar Year (Jan - Dec), 2020",North Zone,3.67,2.84,77
21,India,7,Delhi,2021,"Calendar Year (Jan - Dec), 2021",North Zone,2.85,2.39,84
22,India,8,Rajasthan,2019,"Calendar Year (Jan - Dec), 2019",North Zone,18.47,9.83,53
23,India,8,Rajasthan,2020,"Calendar Year (Jan - Dec), 2020",North Zone,19.26,10.71,56
24,India,8,Rajasthan,2021,"Calendar Year (Jan - Dec), 2021",North Zone,20.35,11.43,56
25,India,9,Uttar Pradesh,2019,"Calendar Year (Jan - Dec), 2019",North Zone,54.86,32.58,59
26,India,9,Uttar Pradesh,2020,"Calendar Year (Jan - Dec), 2020",North Zone,54.17,35.22,65
27,India,9,Uttar Pradesh,2021,"Calendar Year (Jan - Dec), 2021",North Zone,54.49,36.46,67
28,India,10,Bihar,2019,"Calendar Year (Jan - Dec), 2019",East Zone,10.41,6.9,66
29,India,10,Bihar,2020,"Calendar Year (Jan - Dec), 2020",East Zone,11.08,8.79,79
30,India,10,Bihar,2021,"Calendar Year (Jan - Dec), 2021",East Zone,11.36,9.05,80
31,India,11,Sikkim,2019,"Calendar Year (Jan - Dec), 2019",East Zone,0.11,0.05,45
32,India,11,Sikkim,2020,"Calendar Year (Jan - Dec), 2020",East Zone,0.11,0.08,73
33,India,11,Sikkim,2021,"Calendar Year (Jan - Dec), 2021",East Zone,0.11,0.1,91
34,India,12,Arunachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",North East Zone,0.3,0.18,60
35,India,12,Arunachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",North East Zone,0.33,0.24,73
36,India,12,Arunachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",North East Zone,0.33,0.22,67
37,India,13,Nagaland,2019,"Calendar Year (Jan - Dec), 2019",North East Zone,0.41,0.39,95
38,India,13,Nagaland,2020,"Calendar Year (Jan - Dec), 2020",North East Zone,0.46,0.45,98
39,India,13,Nagaland,2021,"Calendar Year (Jan - Dec), 2021",North East Zone,0.46,0.4,87
40,India,14,Manipur,2019,"Calendar Year (Jan - Dec), 2019",North East Zone,0.32,0.28,88
41,India,14,Manipur,2020,"Calendar Year (Jan - Dec), 2020",North East Zone,0.49,0.33,67
42,India,14,Manipur,2021,"Calendar Year (Jan - Dec), 2021",North East Zone,0.52,0.43,83
43,India,15,Mizoram,2019,"Calendar Year (Jan - Dec), 2019",North East Zone,0.25,0.18,72
44,India,15,Mizoram,2020,"Calendar Year (Jan - Dec), 2020",North East Zone,0.25,0.14,56
45,India,15,Mizoram,2021,"Calendar Year (Jan - Dec), 2021",North East Zone,0.25,0.18,72
46,India,16,Tripura,2019,"Calendar Year (Jan - Dec), 2019",North East Zone,0.44,0.25,57
47,India,16,Tripura,2020,"Calendar Year (Jan - Dec), 2020",North East Zone,0.44,0.3,68
48,India,16,Tripura,2021,"Calendar Year (Jan - Dec), 2021",North East Zone,0.44,0.34,77
49,India,17,Meghalaya,2019,"Calendar Year (Jan - Dec), 2019",North East Zone,0.22,0.2,91
50,India,17,Meghalaya,2020,"Calendar Year (Jan - Dec), 2020",North East Zone,0.22,0.21,95
51,India,17,Meghalaya,2021,"Calendar Year (Jan - Dec), 2021",North East Zone,0.22,0.18,82
52,India,18,Assam,2019,"Calendar Year (Jan - Dec), 2019",North East Zone,3.98,3.24,81
53,India,18,Assam,2020,"Calendar Year (Jan - Dec), 2020",North East Zone,4.18,3.66,88
54,India,18,Assam,2021,"Calendar Year (Jan - Dec), 2021",North East Zone,4.2,3.19,75
55,India,19,West Bengal,2019,"Calendar Year (Jan - Dec), 2019",East Zone,10.17,6.73,66
56,India,19,West Bengal,2020,"Calendar Year (Jan - Dec), 2020",East Zone,9.97,7.62,76
57,India,19,West Bengal,2021,"Calendar Year (Jan - Dec), 2021",East Zone,10.03,6.62,66
58,India,20,Jharkhand,2019,"Calendar Year (Jan - Dec), 2019",East Zone,3.79,3.64,96
59,India,20,Jharkhand,2020,"Calendar Year (Jan - Dec), 2020",East Zone,3.9,3.63,93
60,India,20,Jharkhand,2021,"Calendar Year (Jan - Dec), 2021",East Zone,4.06,3.48,85
61,India,21,Odisha,2019,"Calendar Year (Jan - Dec), 2019",East Zone,5.35,4.03,75
62,India,21,Odisha,2020,"Calendar Year (Jan - Dec), 2020",East Zone,5.67,5.16,91
63,India,21,Odisha,2021,"Calendar Year (Jan - Dec), 2021",East Zone,5.85,5.27,90
64,India,22,Chhattisgarh,2019,"Calendar Year (Jan - Dec), 2019",West Zone,6.95,5.27,76
65,India,22,Chhattisgarh,2020,"Calendar Year (Jan - Dec), 2020",West Zone,9.15,8.88,97
66,India,22,Chhattisgarh,2021,"Calendar Year (Jan - Dec), 2021",West Zone,9.79,8.1,83
67,India,23,Madhya Pradesh,2019,"Calendar Year (Jan - Dec), 2019",West Zone,8.08,3.18,39
68,India,23,Madhya Pradesh,2020,"Calendar Year (Jan - Dec), 2020",West Zone,8.25,4.28,52
69,India,23,Madhya Pradesh,2021,"Calendar Year (Jan - Dec), 2021",West Zone,8.31,5.69,68
70,India,24,Gujarat,2019,"Calendar Year (Jan - Dec), 2019",West Zone,6.39,5.74,90
71,India,24,Gujarat,2020,"Calendar Year (Jan - Dec), 2020",West Zone,6.62,6.57,99
72,India,24,Gujarat,2021,"Calendar Year (Jan - Dec), 2021",West Zone,6.65,6.65,100
73,India,27,Maharashtra,2019,"Calendar Year (Jan - Dec), 2019",West Zone,19.89,17.63,89
74,India,27,Maharashtra,2020,"Calendar Year (Jan - Dec), 2020",West Zone,20.38,18.35,90
75,India,27,Maharashtra,2021,"Calendar Year (Jan - Dec), 2021",West Zone,20.07,16.69,83
76,India,28,Andhra Pradesh,2019,"Calendar Year (Jan - Dec), 2019",South Zone,13.74,10.84,79
77,India,28,Andhra Pradesh,2020,"Calendar Year (Jan - Dec), 2020",South Zone,14.6,9.14,63
78,India,28,Andhra Pradesh,2021,"Calendar Year (Jan - Dec), 2021",South Zone,13.68,10.04,73
79,India,29,Karnataka,2019,"Calendar Year (Jan - Dec), 2019",South Zone,9.44,7.38,78
80,India,29,Karnataka,2020,"Calendar Year (Jan - Dec), 2020",South Zone,10.06,8.03,80
81,India,29,Karnataka,2021,"Calendar Year (Jan - Dec), 2021",South Zone,9.76,7.76,80
82,India,30,Goa,2019,"Calendar Year (Jan - Dec), 2019",West Zone,0.2,0.19,95
83,India,30,Goa,2020,"Calendar Year (Jan - Dec), 2020",West Zone,0.2,0.2,100
84,India,30,Goa,2021,"Calendar Year (Jan - Dec), 2021",West Zone,0.2,0.18,90
85,India,32,Kerala,2019,"Calendar Year (Jan - Dec), 2019",South Zone,5.62,4.2,75
86,India,32,Kerala,2020,"Calendar Year (Jan - Dec), 2020",South Zone,5.63,4.65,83
87,India,32,Kerala,2021,"Calendar Year (Jan - Dec), 2021",South Zone,5.63,4.53,80
88,India,33,Tamil Nadu,2019,"Calendar Year (Jan - Dec), 2019",South Zone,12.33,10.6,86
89,India,33,Tamil Nadu,2020,"Calendar Year (Jan - Dec), 2020",South Zone,13.67,12.27,90
90,India,33,Tamil Nadu,2021,"Calendar Year (Jan - Dec), 2021",South Zone,14.32,12.86,90
91,India,34,Puducherry,2019,"Calendar Year (Jan - Dec), 2019",South Zone,1.32,1.06,86
92,India,34,Puducherry,2020,"Calendar Year (Jan - Dec), 2020",South Zone,1.34,1.19,89
93,India,34,Puducherry,2021,"Calendar Year (Jan - Dec), 2021",South Zone,0.5,0.33,66
94,India,35,Andaman And Nicobar Islands,2019,"Calendar Year (Jan - Dec), 2019",South Zone,0.07,0.05,71
95,India,35,Andaman And Nicobar Islands,2020,"Calendar Year (Jan - Dec), 2020",South Zone,0.07,0.04,57
96,India,35,Andaman And Nicobar Islands,2021,"Calendar Year (Jan - Dec), 2021",South Zone,0.07,0.06,86
97,India,36,Telangana,2019,"Calendar Year (Jan - Dec), 2019",South Zone,13.27,11.39,86
98,India,36,Telangana,2020,"Calendar Year (Jan - Dec), 2020",South Zone,21.53,19.88,92
99,India,36,Telangana,2021,"Calendar Year (Jan - Dec), 2021",South Zone,16.56,15.11,91
100,India,37,Ladakh,2019,"Calendar Year (Jan - Dec), 2019",North Zone,0.059879113952457990,0.035294599687424425,59
101,India,37,Ladakh,2020,"Calendar Year (Jan - Dec), 2020",North Zone,0.06328686840503690,0.05355042711195430,85
102,India,37,Ladakh,2021,"Calendar Year (Jan - Dec), 2021",North Zone,0.066938033889942875,0.054037249176608430,81
