srcStateName,srcYear,Number of Employees,Mandays Employees,YearCode,Year
Andaman & Nicobar Islands,2011-12,75,130,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2011-12,241555,412794,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2011-12,,,2011,"Financial Year (Apr - Mar), 2011"
Assam,2011-12,27982,49818,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2011-12,15022,27441,2011,"Financial Year (Apr - Mar), 2011"
Chandigarh,2011-12,5106,4658,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2011-12,46803,61385,2011,"Financial Year (Apr - Mar), 2011"
Dadra & Nagar Haveli,2011-12,23786,37017,2011,"Financial Year (Apr - Mar), 2011"
Daman & Diu,2011-12,21457,31274,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2011-12,38959,35295,2011,"Financial Year (Apr - Mar), 2011"
Goa,2011-12,21261,20743,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2011-12,319373,431986,2011,"Financial Year (Apr - Mar), 2011"
Haryana,2011-12,144778,175604,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2011-12,46969,50247,2011,"Financial Year (Apr - Mar), 2011"
Jammu and Kashmir,2011-12,10557,19736,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2011-12,60840,63423,2011,"Financial Year (Apr - Mar), 2011"
Karnataka,2011-12,198155,267309,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2011-12,55559,108066,2011,"Financial Year (Apr - Mar), 2011"
Madhya Pradesh,2011-12,80628,97743,2011,"Financial Year (Apr - Mar), 2011"
Maharashtra,2011-12,554790,581980,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2011-12,659,1541,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2011-12,2179,3508,2011,"Financial Year (Apr - Mar), 2011"
Nagaland,2011-12,311,610,2011,"Financial Year (Apr - Mar), 2011"
Odisha,2011-12,60678,98091,2011,"Financial Year (Apr - Mar), 2011"
Puducherry,2011-12,10262,16841,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2011-12,109435,177747,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2011-12,94287,139858,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2011-12,1757,2700,2011,"Financial Year (Apr - Mar), 2011"
Tamil Nadu,2011-12,336075,593721,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2011-12,2335,5751,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2011-12,189893,258170,2011,"Financial Year (Apr - Mar), 2011"
Uttarakhand,2011-12,68489,105923,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2011-12,117335,206023,2011,"Financial Year (Apr - Mar), 2011"
Andaman & Nicobar Islands,2012-13,101,150,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2012-13,88406,150605,2012,"Financial Year (Apr - Mar), 2012"
Arunachal Pradesh,2012-13,,,2012,"Financial Year (Apr - Mar), 2012"
Assam,2012-13,25700,43949,2012,"Financial Year (Apr - Mar), 2012"
Bihar,2012-13,13782,26196,2012,"Financial Year (Apr - Mar), 2012"
Chandigarh,2012-13,4204,3813,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2012-13,34040,57292,2012,"Financial Year (Apr - Mar), 2012"
Dadra & Nagar Haveli,2012-13,21046,32173,2012,"Financial Year (Apr - Mar), 2012"
Daman & Diu,2012-13,30417,38816,2012,"Financial Year (Apr - Mar), 2012"
Delhi,2012-13,37973,35287,2012,"Financial Year (Apr - Mar), 2012"
Goa,2012-13,18492,16730,2012,"Financial Year (Apr - Mar), 2012"
Gujarat,2012-13,312488,423578,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2012-13,133763,166588,2012,"Financial Year (Apr - Mar), 2012"
Himachal Pradesh,2012-13,50917,56231,2012,"Financial Year (Apr - Mar), 2012"
