ROWID,Country,State lgd code,State,YearCode,Year,Number of employees,Mandays employees
1,India,1,Jammu And Kashmir,1991,"Financial Year (Apr - Mar), 1991",13732.90111508843067836400,4326.25510199687527709430
2,India,1,Jammu And Kashmir,1992,"Financial Year (Apr - Mar), 1992",14346.18665633917469797470,4504.27419052579937848050
3,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",14675.81540817569899559640,4670.55575673413507757750
4,India,1,Jammu And Kashmir,1994,"Financial Year (Apr - Mar), 1994",19193.78337474218484341430,5814.96418299150430077450
5,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",23435.91956677484323743600,6929.05067658735348472440
6,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",21479.66584667677618923600,6410.64344076136571695140
7,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",42052.60809408809830163130,
8,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",25735.49581475012105259510,7850.44617875354306442660
9,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",,6990.67266877044259674270
10,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",,7331.06081606750626312950
11,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",,7438.65477067289995078050
12,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",,8180.07493059006736204830
13,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",,9321.54897626728948467300
14,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",,12068.12919928497562034580
15,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",,14075.24551610559241179900
16,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",,15854.45827453478439213690
17,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",9202.21749934130739473280,16231.03711565366229891540
18,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",8461.77546628418901698910,16005.08981098233555484830
19,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",10928.61140732785156476930,16823.78199284337661452000
20,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",10326.08526153764691392370,19304.31170992772563163760
21,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",11151.62433141903120826410,18359.44116312035924735700
