srcStateName,srcYear,Infant mortality rate-per 1000 live births,YearCode,Year
Kerala,2011,12,2011,"Calendar Year (Jan - Dec), 2011"
Andaman & Nicobar Islands,2011,23,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011,43,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011,32,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011,55,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011,44,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011,20,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011,48,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011,35,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011,22,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011,28,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011,11,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011,41,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011,44,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011,38,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011,41,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011,39,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011,35,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011,24,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011,59,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011,25,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011,11,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011,52,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011,34,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011,21,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011,57,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011,19,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011,30,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011,52,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011,26,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011,22,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011,29,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011,57,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011,36,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011,32,2011,"Calendar Year (Jan - Dec), 2011"
Andaman & Nicobar Islands,2012,24,2012,"Calendar Year (Jan - Dec), 2012"
Andhra Pradesh,2012,41,2012,"Calendar Year (Jan - Dec), 2012"
Arunachal Pradesh,2012,33,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012,55,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012,43,2012,"Calendar Year (Jan - Dec), 2012"
Chandigarh,2012,20,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012,47,2012,"Calendar Year (Jan - Dec), 2012"
Dadra & Nagar Haveli,2012,33,2012,"Calendar Year (Jan - Dec), 2012"
Daman & Diu,2012,22,2012,"Calendar Year (Jan - Dec), 2012"
Delhi,2012,25,2012,"Calendar Year (Jan - Dec), 2012"
Goa,2012,10,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012,38,2012,"Calendar Year (Jan - Dec), 2012"
Haryana,2012,42,2012,"Calendar Year (Jan - Dec), 2012"
Himachal Pradesh,2012,36,2012,"Calendar Year (Jan - Dec), 2012"
Jammu and Kashmir,2012,39,2012,"Calendar Year (Jan - Dec), 2012"
