ROWID,Country,State lgd code,State,YearCode,Year,Infant mortality rate-per 1000 live births
1,India,1,Jammu And Kashmir,1997,"Calendar Year (Jan - Dec), 1997",
2,India,1,Jammu And Kashmir,1998,"Calendar Year (Jan - Dec), 1998",45
3,India,1,Jammu And Kashmir,1999,"Calendar Year (Jan - Dec), 1999",52
4,India,1,Jammu And Kashmir,2000,"Calendar Year (Jan - Dec), 2000",50
5,India,1,Jammu And Kashmir,2001,"Calendar Year (Jan - Dec), 2001",48
6,India,1,Jammu And Kashmir,2002,"Calendar Year (Jan - Dec), 2002",45
7,India,1,Jammu And Kashmir,2003,"Calendar Year (Jan - Dec), 2003",44
8,India,1,Jammu And Kashmir,2004,"Calendar Year (Jan - Dec), 2004",49
9,India,1,Jammu And Kashmir,2005,"Calendar Year (Jan - Dec), 2005",50
10,India,1,Jammu And Kashmir,2006,"Calendar Year (Jan - Dec), 2006",52
11,India,1,Jammu And Kashmir,2007,"Calendar Year (Jan - Dec), 2007",51
12,India,1,Jammu And Kashmir,2008,"Calendar Year (Jan - Dec), 2008",49
13,India,1,Jammu And Kashmir,2009,"Calendar Year (Jan - Dec), 2009",45
14,India,1,Jammu And Kashmir,2010,"Calendar Year (Jan - Dec), 2010",43
15,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",41
16,India,1,Jammu And Kashmir,2012,"Calendar Year (Jan - Dec), 2012",39
17,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",37
18,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",34
19,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",26
20,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",24
21,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",23
22,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",22
23,India,2,Himachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",63
24,India,2,Himachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",64
25,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",62
26,India,2,Himachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",60
27,India,2,Himachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",54
28,India,2,Himachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",52
29,India,2,Himachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",49
30,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",51
31,India,2,Himachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",49
32,India,2,Himachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",50
33,India,2,Himachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",47
34,India,2,Himachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",44
35,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",45
36,India,2,Himachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",40
37,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",38
38,India,2,Himachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",36
39,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",35
40,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",32
41,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",28
42,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",25
43,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",22
44,India,3,Punjab,1997,"Calendar Year (Jan - Dec), 1997",51
45,India,3,Punjab,1998,"Calendar Year (Jan - Dec), 1998",54
46,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",53
47,India,3,Punjab,2000,"Calendar Year (Jan - Dec), 2000",52
48,India,3,Punjab,2001,"Calendar Year (Jan - Dec), 2001",51
