srcStateName,srcYear,Persons below Poverty line,Statewise Poverty rate (%),YearCode,Year
Mizoram,2011-12,2.3,20.4,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2011-12,3.6,11.9,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2011-12,10.2,36.9,2011,"Financial Year (Apr - Mar), 2011"
Maharashtra,2011-12,197.9,17.4,2011,"Financial Year (Apr - Mar), 2011"
Madhya Pradesh,2011-12,234.1,31.7,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2011-12,24,7.1,2011,"Financial Year (Apr - Mar), 2011"
Puducherry,2011-12,1.2,9.7,2011,"Financial Year (Apr - Mar), 2011"
Lakshadweep,2011-12,0,2.8,2011,"Financial Year (Apr - Mar), 2011"
Daman & Diu,2011-12,0.3,9.9,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2011-12,17,9.9,2011,"Financial Year (Apr - Mar), 2011"
Dadra & Nagar Haveli,2011-12,1.4,39.3,2011,"Financial Year (Apr - Mar), 2011"
Chandigarh,2011-12,2.4,21.8,2011,"Financial Year (Apr - Mar), 2011"
Andaman and Nicobar Islands,2011-12,0,1,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2011-12,185,20,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2011-12,598.2,29.4,2011,"Financial Year (Apr - Mar), 2011"
Uttarakhand,2011-12,11.6,11.3,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2011-12,5.2,14.1,2011,"Financial Year (Apr - Mar), 2011"
Tamil Nadu,2011-12,82.6,11.3,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2011-12,0.5,8.2,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2011-12,102.9,14.7,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2011-12,23.2,8.3,2011,"Financial Year (Apr - Mar), 2011"
Odisha,2011-12,138.5,32.6,2011,"Financial Year (Apr - Mar), 2011"
Nagaland,2011-12,3.8,18.9,2011,"Financial Year (Apr - Mar), 2011"
Karnataka,2011-12,129.8,20.9,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2011-12,124.3,37,2011,"Financial Year (Apr - Mar), 2011"
Jammu and Kashmir,2011-12,13.3,10.4,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2011-12,5.6,8.1,2011,"Financial Year (Apr - Mar), 2011"
Haryana,2011-12,28.8,11.2,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2011-12,102.2,16.6,2011,"Financial Year (Apr - Mar), 2011"
Goa,2011-12,0.8,5.1,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2011-12,104.1,39.9,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2011-12,358.2,33.7,2011,"Financial Year (Apr - Mar), 2011"
Assam,2011-12,101.3,32,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2011-12,4.9,34.7,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2011-12,78.8,9.2,2011,"Financial Year (Apr - Mar), 2011"
