ROWID,Country,State lgd code,State,YearCode,Year,Persons below poverty line,Statewise poverty rate (%)
1,India,1,Jammu And Kashmir,1993,"Financial Year (Apr - Mar), 1993",20.4428513750248,25.2
2,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",3.4234440101716173,3.5
3,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",13.889401412696277,13.2
4,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",11.248458890563885,9.4
5,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",13.009087238652146,10.4
6,India,2,Himachal Pradesh,1993,"Financial Year (Apr - Mar), 1993",15.9,28.4
7,India,2,Himachal Pradesh,1999,"Financial Year (Apr - Mar), 1999",5.1,7.6
8,India,2,Himachal Pradesh,2004,"Financial Year (Apr - Mar), 2004",14.6,22.9
9,India,2,Himachal Pradesh,2009,"Financial Year (Apr - Mar), 2009",6.4,9.5
10,India,2,Himachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",5.6,8.1
11,India,3,Punjab,1993,"Financial Year (Apr - Mar), 1993",25.1,11.8
12,India,3,Punjab,1999,"Financial Year (Apr - Mar), 1999",14.5,6.2
13,India,3,Punjab,2004,"Financial Year (Apr - Mar), 2004",53.8,20.9
14,India,3,Punjab,2009,"Financial Year (Apr - Mar), 2009",43.5,15.9
15,India,3,Punjab,2011,"Financial Year (Apr - Mar), 2011",23.2,8.3
16,India,4,Chandigarh,1993,"Financial Year (Apr - Mar), 1993",0.8,11.4
17,India,4,Chandigarh,1999,"Financial Year (Apr - Mar), 1999",0.5,5.8
18,India,4,Chandigarh,2004,"Financial Year (Apr - Mar), 2004",1.1,11.6
19,India,4,Chandigarh,2009,"Financial Year (Apr - Mar), 2009",1,9.2
20,India,4,Chandigarh,2011,"Financial Year (Apr - Mar), 2011",2.4,21.8
21,India,5,Uttarakhand,1993,"Financial Year (Apr - Mar), 1993",,
22,India,5,Uttarakhand,1999,"Financial Year (Apr - Mar), 1999",,
23,India,5,Uttarakhand,2004,"Financial Year (Apr - Mar), 2004",29.7,32.7
24,India,5,Uttarakhand,2009,"Financial Year (Apr - Mar), 2009",17.9,18
25,India,5,Uttarakhand,2011,"Financial Year (Apr - Mar), 2011",11.6,11.3
26,India,6,Haryana,1993,"Financial Year (Apr - Mar), 1993",43.9,25.1
27,India,6,Haryana,1999,"Financial Year (Apr - Mar), 1999",17.3,8.7
28,India,6,Haryana,2004,"Financial Year (Apr - Mar), 2004",55.1,24.1
29,India,6,Haryana,2009,"Financial Year (Apr - Mar), 2009",50,20.1
30,India,6,Haryana,2011,"Financial Year (Apr - Mar), 2011",28.8,11.2
31,India,7,Delhi,1993,"Financial Year (Apr - Mar), 1993",15.5,14.7
32,India,7,Delhi,1999,"Financial Year (Apr - Mar), 1999",11.5,8.2
33,India,7,Delhi,2004,"Financial Year (Apr - Mar), 2004",20.4,13.1
34,India,7,Delhi,2009,"Financial Year (Apr - Mar), 2009",23.3,14.2
35,India,7,Delhi,2011,"Financial Year (Apr - Mar), 2011",17,9.9
36,India,8,Rajasthan,1993,"Financial Year (Apr - Mar), 1993",128.5,27.4
37,India,8,Rajasthan,1999,"Financial Year (Apr - Mar), 1999",81.8,15.3
38,India,8,Rajasthan,2004,"Financial Year (Apr - Mar), 2004",210.3,34.4
39,India,8,Rajasthan,2009,"Financial Year (Apr - Mar), 2009",167,24.8
40,India,8,Rajasthan,2011,"Financial Year (Apr - Mar), 2011",102.9,14.7
41,India,9,Uttar Pradesh,1993,"Financial Year (Apr - Mar), 1993",604.5,40.9
42,India,9,Uttar Pradesh,1999,"Financial Year (Apr - Mar), 1999",529.9,31.2
43,India,9,Uttar Pradesh,2004,"Financial Year (Apr - Mar), 2004",735.5,40.9
44,India,9,Uttar Pradesh,2009,"Financial Year (Apr - Mar), 2009",737.9,37.7
45,India,9,Uttar Pradesh,2011,"Financial Year (Apr - Mar), 2011",598.2,29.4
46,India,10,Bihar,1993,"Financial Year (Apr - Mar), 1993",493.4,55
47,India,10,Bihar,1999,"Financial Year (Apr - Mar), 1999",425.6,42.6
48,India,10,Bihar,2004,"Financial Year (Apr - Mar), 2004",485.6,54.4
49,India,10,Bihar,2009,"Financial Year (Apr - Mar), 2009",543.5,53.5
50,India,10,Bihar,2011,"Financial Year (Apr - Mar), 2011",358.2,33.7
51,India,11,Sikkim,1993,"Financial Year (Apr - Mar), 1993",1.8,41.4
52,India,11,Sikkim,1999,"Financial Year (Apr - Mar), 1999",2.1,36.6
53,India,11,Sikkim,2004,"Financial Year (Apr - Mar), 2004",1.8,31.1
54,India,11,Sikkim,2009,"Financial Year (Apr - Mar), 2009",0.8,13.1
55,India,11,Sikkim,2011,"Financial Year (Apr - Mar), 2011",0.5,8.2
56,India,12,Arunachal Pradesh,1993,"Financial Year (Apr - Mar), 1993",3.7,39.4
57,India,12,Arunachal Pradesh,1999,"Financial Year (Apr - Mar), 1999",4,33.5
58,India,12,Arunachal Pradesh,2004,"Financial Year (Apr - Mar), 2004",3.6,31.1
59,India,12,Arunachal Pradesh,2009,"Financial Year (Apr - Mar), 2009",3.5,25.9
60,India,12,Arunachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",4.9,34.7
61,India,13,Nagaland,1993,"Financial Year (Apr - Mar), 1993",5.1,37.9
62,India,13,Nagaland,1999,"Financial Year (Apr - Mar), 1999",5.5,32.7
63,India,13,Nagaland,2004,"Financial Year (Apr - Mar), 2004",1.9,9
64,India,13,Nagaland,2009,"Financial Year (Apr - Mar), 2009",4.1,20.9
65,India,13,Nagaland,2011,"Financial Year (Apr - Mar), 2011",3.8,18.9
66,India,14,Manipur,1993,"Financial Year (Apr - Mar), 1993",6.8,33.8
67,India,14,Manipur,1999,"Financial Year (Apr - Mar), 1999",7.2,28.5
68,India,14,Manipur,2004,"Financial Year (Apr - Mar), 2004",8.7,38
69,India,14,Manipur,2009,"Financial Year (Apr - Mar), 2009",12.5,47.1
70,India,14,Manipur,2011,"Financial Year (Apr - Mar), 2011",10.2,36.9
71,India,15,Mizoram,1993,"Financial Year (Apr - Mar), 1993",1.9,25.7
72,India,15,Mizoram,1999,"Financial Year (Apr - Mar), 1999",1.9,19.5
73,India,15,Mizoram,2004,"Financial Year (Apr - Mar), 2004",1.4,15.3
74,India,15,Mizoram,2009,"Financial Year (Apr - Mar), 2009",2.3,21.1
75,India,15,Mizoram,2011,"Financial Year (Apr - Mar), 2011",2.3,20.4
76,India,16,Tripura,1993,"Financial Year (Apr - Mar), 1993",11.8,39
77,India,16,Tripura,1999,"Financial Year (Apr - Mar), 1999",13,34.4
78,India,16,Tripura,2004,"Financial Year (Apr - Mar), 2004",13.7,40.6
79,India,16,Tripura,2009,"Financial Year (Apr - Mar), 2009",6.3,17.4
80,India,16,Tripura,2011,"Financial Year (Apr - Mar), 2011",5.2,14.1
81,India,17,Meghalaya,1993,"Financial Year (Apr - Mar), 1993",7.4,37.9
82,India,17,Meghalaya,1999,"Financial Year (Apr - Mar), 1999",8.2,33.9
83,India,17,Meghalaya,2004,"Financial Year (Apr - Mar), 2004",3.9,16.1
84,India,17,Meghalaya,2009,"Financial Year (Apr - Mar), 2009",4.9,17.1
85,India,17,Meghalaya,2011,"Financial Year (Apr - Mar), 2011",3.6,11.9
86,India,18,Assam,1993,"Financial Year (Apr - Mar), 1993",96.4,40.9
87,India,18,Assam,1999,"Financial Year (Apr - Mar), 1999",94.6,36.1
88,India,18,Assam,2004,"Financial Year (Apr - Mar), 2004",97.3,34.4
89,India,18,Assam,2009,"Financial Year (Apr - Mar), 2009",116.4,37.9
90,India,18,Assam,2011,"Financial Year (Apr - Mar), 2011",101.3,32
91,India,19,West Bengal,1993,"Financial Year (Apr - Mar), 1993",254.6,35.7
92,India,19,West Bengal,1999,"Financial Year (Apr - Mar), 1999",213.5,27
93,India,19,West Bengal,2004,"Financial Year (Apr - Mar), 2004",289.1,34.3
94,India,19,West Bengal,2009,"Financial Year (Apr - Mar), 2009",240.3,26.7
95,India,19,West Bengal,2011,"Financial Year (Apr - Mar), 2011",185,20
96,India,20,Jharkhand,1993,"Financial Year (Apr - Mar), 1993",,
97,India,20,Jharkhand,1999,"Financial Year (Apr - Mar), 1999",,
98,India,20,Jharkhand,2004,"Financial Year (Apr - Mar), 2004",130.7,45.3
99,India,20,Jharkhand,2009,"Financial Year (Apr - Mar), 2009",126.2,39.1
100,India,20,Jharkhand,2011,"Financial Year (Apr - Mar), 2011",124.3,37
101,India,21,Odisha,1993,"Financial Year (Apr - Mar), 1993",160.6,48.6
102,India,21,Odisha,1999,"Financial Year (Apr - Mar), 1999",169.1,47.2
103,India,21,Odisha,2004,"Financial Year (Apr - Mar), 2004",220.2,57.2
104,India,21,Odisha,2009,"Financial Year (Apr - Mar), 2009",153.2,37
105,India,21,Odisha,2011,"Financial Year (Apr - Mar), 2011",138.5,32.6
106,India,22,Chhattisgarh,1993,"Financial Year (Apr - Mar), 1993",,
107,India,22,Chhattisgarh,1999,"Financial Year (Apr - Mar), 1999",,
108,India,22,Chhattisgarh,2004,"Financial Year (Apr - Mar), 2004",109.9,49.4
109,India,22,Chhattisgarh,2009,"Financial Year (Apr - Mar), 2009",121.9,48.7
110,India,22,Chhattisgarh,2011,"Financial Year (Apr - Mar), 2011",104.1,39.9
111,India,23,Madhya Pradesh,1993,"Financial Year (Apr - Mar), 1993",298.5,42.5
112,India,23,Madhya Pradesh,1999,"Financial Year (Apr - Mar), 1999",298.5,37.4
113,India,23,Madhya Pradesh,2004,"Financial Year (Apr - Mar), 2004",316.9,48.6
114,India,23,Madhya Pradesh,2009,"Financial Year (Apr - Mar), 2009",261.8,36.7
115,India,23,Madhya Pradesh,2011,"Financial Year (Apr - Mar), 2011",234.1,31.7
116,India,24,Gujarat,1993,"Financial Year (Apr - Mar), 1993",105.2,24.2
117,India,24,Gujarat,1999,"Financial Year (Apr - Mar), 1999",67.9,14.1
118,India,24,Gujarat,2004,"Financial Year (Apr - Mar), 2004",172.2,31.8
119,India,24,Gujarat,2009,"Financial Year (Apr - Mar), 2009",136.2,23
120,India,24,Gujarat,2011,"Financial Year (Apr - Mar), 2011",102.2,16.6
121,India,27,Maharashtra,1993,"Financial Year (Apr - Mar), 1993",305.2,36.9
122,India,27,Maharashtra,1999,"Financial Year (Apr - Mar), 1999",228,25
123,India,27,Maharashtra,2004,"Financial Year (Apr - Mar), 2004",393.3,38.1
124,India,27,Maharashtra,2009,"Financial Year (Apr - Mar), 2009",270.8,24.5
125,India,27,Maharashtra,2011,"Financial Year (Apr - Mar), 2011",197.9,17.4
126,India,28,Andhra Pradesh,1993,"Financial Year (Apr - Mar), 1993",90.26724668183174,22.2
127,India,28,Andhra Pradesh,1999,"Financial Year (Apr - Mar), 1999",69.75196334505179,15.8
128,India,28,Andhra Pradesh,2004,"Financial Year (Apr - Mar), 2004",139.97284745208714,29.9
129,India,28,Andhra Pradesh,2009,"Financial Year (Apr - Mar), 2009",103.51425820786679,21.1
130,India,28,Andhra Pradesh,2011,"Financial Year (Apr - Mar), 2011",46.18869505537884,9.2
131,India,29,Karnataka,1993,"Financial Year (Apr - Mar), 1993",156.5,33.2
132,India,29,Karnataka,1999,"Financial Year (Apr - Mar), 1999",104.4,20
133,India,29,Karnataka,2004,"Financial Year (Apr - Mar), 2004",185.7,33.4
134,India,29,Karnataka,2009,"Financial Year (Apr - Mar), 2009",142.3,23.6
135,India,29,Karnataka,2011,"Financial Year (Apr - Mar), 2011",129.8,20.9
136,India,30,Goa,1993,"Financial Year (Apr - Mar), 1993",1.9,14.9
137,India,30,Goa,1999,"Financial Year (Apr - Mar), 1999",0.7,4.4
138,India,30,Goa,2004,"Financial Year (Apr - Mar), 2004",3.6,25
139,India,30,Goa,2009,"Financial Year (Apr - Mar), 2009",1.3,8.7
140,India,30,Goa,2011,"Financial Year (Apr - Mar), 2011",0.8,5.1
141,India,31,Lakshadweep,1993,"Financial Year (Apr - Mar), 1993",0.1,25
142,India,31,Lakshadweep,1999,"Financial Year (Apr - Mar), 1999",0.1,15.6
143,India,31,Lakshadweep,2004,"Financial Year (Apr - Mar), 2004",0,6.4
144,India,31,Lakshadweep,2009,"Financial Year (Apr - Mar), 2009",0,6.8
145,India,31,Lakshadweep,2011,"Financial Year (Apr - Mar), 2011",0,2.8
146,India,32,Kerala,1993,"Financial Year (Apr - Mar), 1993",76.4,25.4
147,India,32,Kerala,1999,"Financial Year (Apr - Mar), 1999",41,12.7
148,India,32,Kerala,2004,"Financial Year (Apr - Mar), 2004",65,19.7
149,India,32,Kerala,2009,"Financial Year (Apr - Mar), 2009",39.6,12
150,India,32,Kerala,2011,"Financial Year (Apr - Mar), 2011",24,7.1
151,India,33,Tamil Nadu,1993,"Financial Year (Apr - Mar), 1993",202.1,35
152,India,33,Tamil Nadu,1999,"Financial Year (Apr - Mar), 1999",130.5,21.1
153,India,33,Tamil Nadu,2004,"Financial Year (Apr - Mar), 2004",186.8,28.9
154,India,33,Tamil Nadu,2009,"Financial Year (Apr - Mar), 2009",121.8,17.1
155,India,33,Tamil Nadu,2011,"Financial Year (Apr - Mar), 2011",82.6,11.3
156,India,34,Puducherry,1993,"Financial Year (Apr - Mar), 1993",3.3,37.4
157,India,34,Puducherry,1999,"Financial Year (Apr - Mar), 1999",2.4,21.7
158,India,34,Puducherry,2004,"Financial Year (Apr - Mar), 2004",1.5,14.1
159,India,34,Puducherry,2009,"Financial Year (Apr - Mar), 2009",0.1,1.2
160,India,34,Puducherry,2011,"Financial Year (Apr - Mar), 2011",1.2,9.7
161,India,35,Andaman And Nicobar Islands,1993,"Financial Year (Apr - Mar), 1993",1.1,34.5
