srcStateName,This data is collected from the NSS 73rd round.,srcYear,Medium and small scale industrial units,Total Investment,Production,Total Employment,YearCode,Year
Uttarakhand,NSS 73rd Round,2015-16,4.17,,,6.6,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,NSS 73rd Round,2015-16,90,,,165.38,2015,"Financial Year (Apr - Mar), 2015"
Tripura,NSS 73rd Round,2015-16,2.11,,,2.95,2015,"Financial Year (Apr - Mar), 2015"
Telangana,NSS 73rd Round,2015-16,26.05,,,40.26,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,NSS 73rd Round,2015-16,49.48,,,96.82,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,NSS 73rd Round,2015-16,0.26,,,0.45,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,NSS 73rd Round,2015-16,26.87,,,46.52,2015,"Financial Year (Apr - Mar), 2015"
Punjab,NSS 73rd Round,2015-16,14.65,,,24.8,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,NSS 73rd Round,2015-16,0.96,,,1.84,2015,"Financial Year (Apr - Mar), 2015"
Odisha,NSS 73rd Round,2015-16,19.84,,,33.26,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,NSS 73rd Round,2015-16,0.91,,,1.77,2015,"Financial Year (Apr - Mar), 2015"
Mizoram,NSS 73rd Round,2015-16,0.35,,,0.62,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,NSS 73rd Round,2015-16,1.12,,,1.91,2015,"Financial Year (Apr - Mar), 2015"
Manipur,NSS 73rd Round,2015-16,1.8,,,2.92,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,NSS 73rd Round,2015-16,47.79,,,91.23,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,NSS 73rd Round,2015-16,26.74,,,49.25,2015,"Financial Year (Apr - Mar), 2015"
Lakshadweep,NSS 73rd Round,2015-16,0.02,,,0.03,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,NSS 73rd Round,2015-16,88.68,,,135.54,2015,"Financial Year (Apr - Mar), 2015"
Kerala,NSS 73rd Round,2015-16,23.79,,,44.92,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,NSS 73rd Round,2015-16,38.34,,,71.45,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,NSS 73rd Round,2015-16,15.88,,,25.03,2015,"Financial Year (Apr - Mar), 2015"
Jammu and Kashmir,NSS 73rd Round,2015-16,7.09,,,10.89,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,NSS 73rd Round,2015-16,3.92,,,6.48,2015,"Financial Year (Apr - Mar), 2015"
Haryana,NSS 73rd Round,2015-16,9.7,,,19.12,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,NSS 73rd Round,2015-16,33.16,,,61.18,2015,"Financial Year (Apr - Mar), 2015"
Goa,NSS 73rd Round,2015-16,0.7,,,1.6,2015,"Financial Year (Apr - Mar), 2015"
Delhi,NSS 73rd Round,2015-16,9.36,,,23.01,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,NSS 73rd Round,2015-16,0.08,,,0.14,2015,"Financial Year (Apr - Mar), 2015"
Dadra & Nagar Haveli,NSS 73rd Round,2015-16,0.16,,,0.36,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,NSS 73rd Round,2015-16,8.48,,,8.48,2015,"Financial Year (Apr - Mar), 2015"
Chandigarh,NSS 73rd Round,2015-16,0.56,,,1.29,2015,"Financial Year (Apr - Mar), 2015"
Bihar,NSS 73rd Round,2015-16,34.46,,,53.07,2015,"Financial Year (Apr - Mar), 2015"
Assam,NSS 73rd Round,2015-16,12.14,,,18.16,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,NSS 73rd Round,2015-16,0.23,,,0.41,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,NSS 73rd Round,2015-16,33.87,,,56.19,2015,"Financial Year (Apr - Mar), 2015"
Andaman & Nicobar Islands,NSS 73rd Round,2015-16,0.19,,,0.39,2015,"Financial Year (Apr - Mar), 2015"
