srcStateName,srcYear,Total population,Rural population,Urban population,Decadal growth rate of population (%),Sex ratio-females per 1000 males,Literacy rate (%),Density of population,YearCode,Year
Andaman and Nicobar Islands,2011,381,237,143,6.86,876,86.63,46,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011,84581,56362,28219,10.98,993,67.02,308,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011,1384,1066,317,26.03,938,65.39,17,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011,31206,26807,4399,17.07,958,72.19,398,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011,104099,92341,11758,25.4,918,61.8,1106,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011,1055,29,1026,17.09,818,86.05,9258,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011,25545,19608,5937,22.61,991,70.28,189,2011,"Calendar Year (Jan - Dec), 2011"
Dadra and Nagar Haveli,2011,344,183,161,55.88,774,76.24,700,2011,"Calendar Year (Jan - Dec), 2011"
Daman and Diu,2011,243,60,183,53.76,618,87.1,2191,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011,16788,419,16369,21.21,868,86.21,11320,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011,1459,552,907,8.23,973,88.7,394,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011,60440,34695,25745,19.28,919,78.03,308,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011,25351,16509,8842,19.9,879,75.55,573,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011,6865,6176,689,12.94,972,82.8,123,2011,"Calendar Year (Jan - Dec), 2011"
Jammu and Kashmir,2011,12541,9108,3433,23.64,889,67.16,124,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011,32988,25055,7933,22.42,948,66.41,414,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011,61095,37469,23626,15.6,973,75.37,319,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011,33406,17471,15935,4.91,1084,94,860,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011,64,14,50,6.3,947,91.85,2149,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011,72627,52557,20069,20.35,931,69.32,236,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011,112374,61556,50818,15.99,929,82.34,365,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011,2856,1736,834,24.5,992,76.9,115,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011,2967,2371,595,29.95,989,74.43,132,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011,1097,525,572,23.48,976,91.33,52,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011,1979,1408,571,0.58,931,79.6,119,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011,41974,34971,7004,14.05,979,72.89,270,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011,1248,395,853,28.08,1037,85.85,2547,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011,27743,17344,10399,13.89,895,75.84,551,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011,68548,51500,17048,21.31,928,66.11,200,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011,611,457,154,12.89,890,81.42,86,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011,72147,37230,34917,15.61,996,80.09,555,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011,3674,2712,961,14.84,960,87.22,350,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011,199812,155317,44495,20.23,912,67.68,829,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011,10086,7037,3049,18.81,963,78.82,189,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011,91276,62183,29093,13.84,950,76.26,1028,2011,"Calendar Year (Jan - Dec), 2011"
