ROWID,Country,State lgd code,State,YearCode,Year,Total population,Rural population,Urban population,Decadal growth rate of population (%),Sex ratio-females per 1000 males,Literacy rate (%),Density of population
1,India,1,Jammu And Kashmir,1991,"Calendar Year (Jan - Dec), 1991",7665.58020220427572837170,5910.82061527630958613630,1754.75958692796614223540,30.89,896,,75.125637586377147
2,India,1,Jammu And Kashmir,2001,"Calendar Year (Jan - Dec), 2001",9922.11886833739606847040,7460.17356159397868831070,2461.94530674341738015970,29.43,892,55.52,97.565763099191100
3,India,1,Jammu And Kashmir,2011,"Calendar Year (Jan - Dec), 2011",12266.68895187492942573810,8908.77944132659733750280,3357.90951054833208823530,23.64,889,67.16,120.981546242996964
4,India,2,Himachal Pradesh,1991,"Calendar Year (Jan - Dec), 1991",5171,4722,449,20.79,976,63.86,93
5,India,2,Himachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",6078,5482,596,17.54,968,76.48,109
6,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",6865,6176,689,12.94,972,82.8,123
7,India,3,Punjab,1991,"Calendar Year (Jan - Dec), 1991",20282,14289,5993,20.81,882,58.51,403
8,India,3,Punjab,2001,"Calendar Year (Jan - Dec), 2001",24359,16096,8263,20.1,876,69.65,484
9,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",27743,17344,10399,13.89,895,75.84,551
10,India,4,Chandigarh,1991,"Calendar Year (Jan - Dec), 1991",642,66,576,42.16,790,77.81,5632
11,India,4,Chandigarh,2001,"Calendar Year (Jan - Dec), 2001",901,92,809,40.28,777,81.94,7900
12,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",1055,29,1026,17.09,818,86.05,9258
13,India,5,Uttarakhand,1991,"Calendar Year (Jan - Dec), 1991",7051,5417,1634,23.13,936,57.75,133
14,India,5,Uttarakhand,2001,"Calendar Year (Jan - Dec), 2001",8489,6310,2179,20.41,962,71.62,159
15,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",10086,7037,3049,18.81,963,78.82,189
16,India,6,Haryana,1991,"Calendar Year (Jan - Dec), 1991",16464,12409,4055,27.41,865,55.85,372
17,India,6,Haryana,2001,"Calendar Year (Jan - Dec), 2001",21145,15029,6115,28.43,861,67.91,478
18,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",25351,16509,8842,19.9,879,75.55,573
19,India,7,Delhi,1991,"Calendar Year (Jan - Dec), 1991",9421,949,8472,51.45,827,75.29,6352
20,India,7,Delhi,2001,"Calendar Year (Jan - Dec), 2001",13851,945,12906,47.02,821,81.67,9340
21,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",16788,419,16369,21.21,868,86.21,11320
22,India,8,Rajasthan,1991,"Calendar Year (Jan - Dec), 1991",44006,33939,10067,28.44,910,38.55,129
23,India,8,Rajasthan,2001,"Calendar Year (Jan - Dec), 2001",56507,43293,13214,28.41,921,60.41,165
24,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",68548,51500,17048,21.31,928,66.11,200
25,India,9,Uttar Pradesh,1991,"Calendar Year (Jan - Dec), 1991",132062,106090,25972,25.61,876,40.71,548
26,India,9,Uttar Pradesh,2001,"Calendar Year (Jan - Dec), 2001",166198,131658,34540,25.85,898,56.27,690
27,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",199812,155317,44495,20.23,912,67.68,829
28,India,10,Bihar,1991,"Calendar Year (Jan - Dec), 1991",64531,57819,6712,23.38,907,37.49,685
29,India,10,Bihar,2001,"Calendar Year (Jan - Dec), 2001",82999,74317,8682,28.62,919,47,881
30,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",104099,92341,11758,25.4,918,61.8,1106
31,India,11,Sikkim,1991,"Calendar Year (Jan - Dec), 1991",406,369,37,28.47,878,56.94,57
32,India,11,Sikkim,2001,"Calendar Year (Jan - Dec), 2001",541,481,60,33.06,875,68.81,76
33,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",611,457,154,12.89,890,81.42,86
34,India,12,Arunachal Pradesh,1991,"Calendar Year (Jan - Dec), 1991",865,754,111,36.83,859,41.59,10
35,India,12,Arunachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",1098,870,228,27,893,54.34,13
36,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",1384,1066,317,26.03,938,65.39,17
37,India,13,Nagaland,1991,"Calendar Year (Jan - Dec), 1991",1210,1001,208,56.08,886,61.65,73
38,India,13,Nagaland,2001,"Calendar Year (Jan - Dec), 2001",1990,1647,343,64.53,900,66.59,120
39,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",1979,1408,571,0.58,931,79.6,119
40,India,14,Manipur,1991,"Calendar Year (Jan - Dec), 1991",1837,1332,506,29.29,958,59.89,82
41,India,14,Manipur,2001,"Calendar Year (Jan - Dec), 2001",2294,1718,576,24.86,978,70.5,97
42,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",2856,1736,834,24.5,992,76.9,115
43,India,15,Mizoram,1991,"Calendar Year (Jan - Dec), 1991",690,372,318,39.7,921,82.26,33
44,India,15,Mizoram,2001,"Calendar Year (Jan - Dec), 2001",889,448,441,28.82,935,88.8,42
45,India,15,Mizoram,2011,"Calendar Year (Jan - Dec), 2011",1097,525,572,23.48,976,91.33,52
46,India,16,Tripura,1991,"Calendar Year (Jan - Dec), 1991",2757,2335,422,34.3,945,60.44,263
47,India,16,Tripura,2001,"Calendar Year (Jan - Dec), 2001",3199,2653,546,16.03,948,73.19,305
48,India,16,Tripura,2011,"Calendar Year (Jan - Dec), 2011",3674,2712,961,14.84,960,87.22,350
49,India,17,Meghalaya,1991,"Calendar Year (Jan - Dec), 1991",1775,1445,330,32.86,955,49.1,79
